"CASRN","DTXSID","chem_name","MC","SteroidSynth","ERactivity","gentox","Consumer","Diet","Pharma","Pesticide","Industrial","HPV","U95intake","P65_Cancer","P65_Dev"
"X",NA,"Ionizing radiation","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100-42-5","DTXSID2021284","Styrene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_FDA_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"1010-61-3",NA,"4-Hydroxyaminoquinoline 1-oxide hydrochloride","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101-14-4","DTXSID5020865","4,4'-Methylenebis(2-chloroaniline)","MC",NA,NA,"positive","Consumer_cp","Diet_cp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"105650-23-5","DTXSID3037628","2-Amino-1methyl-6-phenylimidazo [4,5-b]pyridine","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"10589-74-9","DTXSID4020084","1-Amyl-1-nitrosourea","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"106-50-3","DTXSID9021138","1,4-Benzenediamine","MC","E2P4up","weak_agonist","positive","Consumer_cp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"106-91-2","DTXSID0025361","Glycidyl methacrylate","MC",NA,NA,"positive","Consumer_cp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"106-93-4","DTXSID3020415","1,2-Dibromoethane","MC",NA,"not_agonist","positive","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer","Dev_M"
"106-99-0","DTXSID3020203","1,3-Butadiene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer","Dev_F_M"
"107-05-1","DTXSID4039231","Allyl chloride","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"107-06-2","DTXSID6020438","1,2-Dichloroethane","MC",NA,NA,"positive","Consumer_cp_exp","Diet_FDA_cp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"107-13-1","DTXSID5020029","Acrylonitrile","MC",NA,"not_agonist","positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_exp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"1071-83-6","DTXSID1024122","Glyphosate","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp_exp","Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer",NA
"109-99-9","DTXSID1021328","Tetrahydrofuran","MC",NA,NA,"positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"110559-84-7","DTXSID4020610","1-Ethylnitroso-3-(2-oxopropyl)urea","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"11097-69-1","DTXSID5020100","Aroclor 1254","MC",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120-71-4","DTXSID8021195","1,3-Propane sultone","MC","negative","not_agonist","positive","Consumer_exp","Diet_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"113-38-2","DTXSID8023000","Estradiol dipropionate","MC",NA,NA,"no test","Consumer_cp",NA,NA,NA,NA,NA,NA,NA,NA
"118745-11-2",NA,"N-hydroxy-n-formyl-trans-4-aminostilbene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118745-12-3",NA,"N-hydroxy-n-propionyl-trans-4-aminostilbene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119-90-4","DTXSID3025091","3,3'-Dimethoxybenzidine","MC","E2P4up","not_agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"119-93-7","DTXSID5024059","3,3'-Dimethylbenzidine","MC","E2P4up","agonist","positive","Consumer_cp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"121-14-2","DTXSID0020529","2,4-Dinitrotoluene","MC","negative","not_agonist","positive","Consumer_exp","Diet_cp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer","Dev_M"
"121-66-4","DTXSID6020066","2-Amino-5-nitrothiazole","MC",NA,NA,"positive","Consumer_cp",NA,NA,"Pesticide_cp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"121-75-5","DTXSID4020791","Malathion","MC","E2P4up","not_agonist","positive","Consumer_cp_exp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day","Cancer",NA
"122-66-7","DTXSID7020710","1,2-Diphenylhydrazine","MC","E2up","not_agonist","positive","Consumer_exp","Diet_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"123-91-1","DTXSID4020533","1,4-Dioxane","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"126-07-8","DTXSID8020674","Griseofulvin","MC","negative",NA,"positive",NA,NA,"Pharma_FDA_Rx","Pesticide_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"126-99-8","DTXSID5020316","Chloroprene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"127-18-4","DTXSID2021319","Tetrachloroethylene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_exp",NA,"HPV","100 ug/kg/day or more","Cancer",NA
"12789-03-6","DTXSID5023954","Technical chlordane","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132832-26-9","DTXSID30157814","anti-Benzo(a)chrysene-11,12-diol-13,14-epoxide","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"13345-61-4","DTXSID80158119","Benz(a)anthracene-7-carboxaldehyde, 12-methyl-","MC",NA,NA,"no test","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"13394-86-0","DTXSID50158429","2',3-Dimethyl-4-aminobiphenyl","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"13743-07-2","DTXSID1020726","1-(2-Hydroxyethyl)-1-nitrosourea","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"138857-19-9",NA,"Anti-4,5-dihydroxy-6,6a-epoxy-4,5,6,6a-tetrahydrobenzo[j]fluoranthene","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138857-21-3",NA,"Anti-9,10-dihydroxy-11,12-epoxy-9,10,11,12-tetrahydrobenzo[j]fluoranthene","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139-94-6","DTXSID1020936","Nithiazide","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"142713-78-8","DTXSID7020506","Dimethylaminoethylnitrosoethylurea, nitrite salt","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148-82-3","DTXSID6020804","Melphalan","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev"
"149-17-7","DTXSID3020758","Isonicotinic acid vanillylidenehydrazide","MC",NA,NA,"no test",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"14962-28-8","DTXSID7074539","4-Hydroxy-2',4',6'-trichlorobiphenyl","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"153-78-6","DTXSID1049223","2-Aminofluorene","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"153926-04-6",NA,"anti-dibenzo[a,l]pyrene-11,12-dihydrodiol-13,14-epoxide","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16170-75-5","DTXSID40273998","Sodium beta-4-methoxybenzoyl-beta-bromoacrylate","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
