"","ID","ID-2","Zscore"
"70630-17-0","70630-17-0","70630-17-0",1.16938155580849
"1929-73-3","1929-73-3","1929-73-3",1.08732399379323
"98-87-3","98-87-3","98-87-3",0.292691564122647
"15708-41-5","15708-41-5","15708-41-5",1.60977885450313
"3844-45-9","3844-45-9","3844-45-9",3.16314450490758
"112529-15-4","112529-15-4","112529-15-4",0.469453946807551
"1672-46-4","1672-46-4","1672-46-4",0.706764027366753
"124-05-0","124-05-0","124-05-0",0.165377309547795
"2008-41-5","2008-41-5","2008-41-5",0.794971677306456
"87-13-8","87-13-8","87-13-8",0.330252860206141
"25606-41-1","25606-41-1","25606-41-1",0.67666893360296
"2782-57-2","2782-57-2","2782-57-2",0.836192774108194
"361343-19-3","361343-19-3","361343-19-3",0.282770300342564
"630-56-8","630-56-8","630-56-8",0.587848672027161
"3926-62-3","3926-62-3","3926-62-3",0.718516069492068
"69655-05-6","69655-05-6","69655-05-6",0.313369846244733
"141-04-8","141-04-8","141-04-8",0.585655784352496
"56507-37-0","56507-37-0","56507-37-0",0.241400577224839
"616-45-5","616-45-5","616-45-5",0.245063901379617
"826-62-0","826-62-0","826-62-0",0.125101177155569
"100-00-5","100-00-5","100-00-5",0.172150316462074
"104-90-5","104-90-5","104-90-5",0.815922997601854
"107-88-0","107-88-0","107-88-0",0.540617039319957
"99-55-8","99-55-8","99-55-8",0.45522413618893
"90-04-0","90-04-0","90-04-0",0.94879682560724
"126-75-0","126-75-0","126-75-0",0.16210422348094
"52-51-7","52-51-7","52-51-7",0.0622908881752041
"109-04-6","109-04-6","109-04-6",0.0391129367031893
"587-65-5","587-65-5","587-65-5",0.960298495336243
"334-48-5","334-48-5","334-48-5",0.937673445926006
"21087-64-9","21087-64-9","21087-64-9",0.418622253741027
"487-68-3","487-68-3","487-68-3",0.196403031877995
"108-94-1","108-94-1","108-94-1",0.0415817562804914
"75330-75-5","75330-75-5","75330-75-5",0.14843872898993
"707-61-9","707-61-9","707-61-9",0.492555920506628
"72-43-5","72-43-5","72-43-5",0.276511139006651
"57-63-6","57-63-6","57-63-6",0.788922150985012
"78-48-8","78-48-8","78-48-8",1.18629999123786
"110-80-5","110-80-5","110-80-5",0.133930663069756
"106-23-0","106-23-0","106-23-0",0.67003687977734
"114-07-8","114-07-8","114-07-8",3.36212908278946
"64-10-8","64-10-8","64-10-8",0.619406198538735
"108-87-2","108-87-2","108-87-2",0.147530215995494
"1929-77-7","1929-77-7","1929-77-7",0.924205291777285
"118-52-5","118-52-5","118-52-5",0.423162726794615
"85509-19-9","85509-19-9","85509-19-9",0.101585810746181
"484-17-3","484-17-3","484-17-3",0.178395857414869
"609-54-1","609-54-1","609-54-1",0.697277161466767
"4390-04-9","4390-04-9","4390-04-9",1.14633398931026
"23135-22-0","23135-22-0","23135-22-0",0.317766198924647
"111-69-3","111-69-3","111-69-3",1.41218127144704
"122454-29-9","122454-29-9","122454-29-9",0.380387421338301
"375-95-1","375-95-1","375-95-1",4.42502624574445
"51-21-8","51-21-8","51-21-8",0.506983950720906
"68844-77-9","68844-77-9","68844-77-9",0.5234875774819
"17420-30-3","17420-30-3","17420-30-3",0.048097650805794
"76014-81-8","76014-81-8","76014-81-8",0.97245647388723
"576-26-1","576-26-1","576-26-1",0.912723173020754
"77-06-5","77-06-5","77-06-5",0.827321709690155
"725228-45-5","725228-45-5","725228-45-5",0.035501950300052
"4180-23-8","4180-23-8","4180-23-8",1.07259622960169
"643-79-8","643-79-8","643-79-8",0.907254134830012
"139-87-7","139-87-7","139-87-7",0.26213068984344
"7786-61-0","7786-61-0","7786-61-0",1.11064641548785
"95-32-9","95-32-9","95-32-9",0.34809573057491
"110-33-8","110-33-8","110-33-8",0.29048493940366
"2859-67-8","2859-67-8","2859-67-8",0.710981246266019
"5850-86-2","5850-86-2","5850-86-2",0.0784366262604759
"127-47-9","127-47-9","127-47-9",0.249709123274064
"68-26-8","68-26-8","68-26-8",0.34428122366062
"34014-18-1","34014-18-1","34014-18-1",0.27920021845536
"962-58-3","962-58-3","962-58-3",0.532513837014325
"92-52-4","92-52-4","92-52-4",0.0665801940456895
"51235-04-2","51235-04-2","51235-04-2",0.136677221166544
"51580-86-0","51580-86-0","51580-86-0",0.645029529773798
"584-13-4","584-13-4","584-13-4",0.145261630710709
"57018-04-9","57018-04-9","57018-04-9",0.593640587528567
"27138-31-4","27138-31-4","27138-31-4",0.607152832479209
"1918-00-9","1918-00-9","1918-00-9",0.97675705819549
"81-30-1","81-30-1","81-30-1",0.570788463871457
"111-85-3","111-85-3","111-85-3",0.0465815088312881
"51229-78-8","51229-78-8","51229-78-8",0.580384942518017
"485-31-4","485-31-4","485-31-4",0.282260514561475
"361377-29-9","361377-29-9","361377-29-9",0.896022090340821
"116-17-6","116-17-6","116-17-6",2.05846804267304
"3026-63-9","3026-63-9","3026-63-9",0.0670505697754079
"87-62-7","87-62-7","87-62-7",0.770323923185746
"51630-58-1","51630-58-1","51630-58-1",0.175663163598942
"56-04-2","56-04-2","56-04-2",0.148807375176506
"3913-02-8","3913-02-8","3913-02-8",0.700822478906659
"50892-23-4","50892-23-4","50892-23-4",0.625532694801327
"67-20-9","67-20-9","67-20-9",0.366382685095755
"16752-77-5","16752-77-5","16752-77-5",0.536824517259529
"111-90-0","111-90-0","111-90-0",0.0238334287573629
"31519-22-9","31519-22-9","31519-22-9",0.460938030017205
"864283-48-7","864283-48-7","864283-48-7",0.523892657708901
"110-15-6","110-15-6","110-15-6",0.293172235262483
"131-17-9","131-17-9","131-17-9",1.1907914207459
"71283-80-2","71283-80-2","71283-80-2",0.0157821487536462
"69327-76-0","69327-76-0","69327-76-0",0.508378052924473
"873-32-5","873-32-5","873-32-5",0.412267208755165
"142-29-0","142-29-0","142-29-0",0.462817843105278
"127308-82-1","127308-82-1","127308-82-1",0.0793672969094821
"101-10-0","101-10-0","101-10-0",0.774203081946535
"13171-00-1","13171-00-1","13171-00-1",0.60403455163712
"668981-02-0","668981-02-0","668981-02-0",0.659495297219521
"95266-40-3","95266-40-3","95266-40-3",0.481112974064763
"107-75-5","107-75-5","107-75-5",1.04007153911073
"1034-01-1","1034-01-1","1034-01-1",0.738306424967756
"3033-77-0","3033-77-0","3033-77-0",0.0596545122207082
"NOCAS_47353","NOCAS_47353","NOCAS_47353",1.42056950392849
"67485-29-4","67485-29-4","67485-29-4",0.963817650129171
"496-46-8","496-46-8","496-46-8",1.40887653417891
"2402-78-0","2402-78-0","2402-78-0",0.448693886767935
"186392-65-4","186392-65-4","186392-65-4",0.550218013671998
"1646-75-9","1646-75-9","1646-75-9",0.186268147411692
"111-27-3","111-27-3","111-27-3",0.576324595060046
"83-41-0","83-41-0","83-41-0",0.414466273119988
"68959-20-6","68959-20-6","68959-20-6",1.52704549685943
"109-08-0","109-08-0","109-08-0",0.113236321860667
"35691-65-7","35691-65-7","35691-65-7",1.19079340014777
"924-16-3","924-16-3","924-16-3",0.445497309133773
"82-68-8","82-68-8","82-68-8",0.260296862714053
"69-65-8","69-65-8","69-65-8",0.419058112823344
"103361-09-7","103361-09-7","103361-09-7",1.06123639297064
"3006-93-7","3006-93-7","3006-93-7",0.356705144149411
"42978-66-5","42978-66-5","42978-66-5",0.54654750185385
"585-34-2","585-34-2","585-34-2",0.962646218083502
"15046-75-0","15046-75-0","15046-75-0",0.511189776648182
"78-62-6","78-62-6","78-62-6",0.0754739048608655
"3855-32-1","3855-32-1","3855-32-1",0.777687572895974
"7492-66-2","7492-66-2","7492-66-2",0.862366840642354
"6842-15-5","6842-15-5","6842-15-5",0.131450799828395
"78491-02-8","78491-02-8","78491-02-8",1.10160164573115
"108-31-6","108-31-6","108-31-6",0.271781573889188
"87-91-2","87-91-2","87-91-2",0.51962876189584
"124-13-0","124-13-0","124-13-0",0.471728469407823
"4437-85-8","4437-85-8","4437-85-8",0.47058675659732
"3277-26-7","3277-26-7","3277-26-7",0.628199823646662
"219714-96-2","219714-96-2","219714-96-2",1.54183718160346
"72178-02-0","72178-02-0","72178-02-0",0.478655024320009
"59-05-2","59-05-2","59-05-2",1.44431534093021
"5146-66-7","5146-66-7","5146-66-7",0.136613003608327
"57-09-0","57-09-0","57-09-0",0.71914394544754
"112410-23-8","112410-23-8","112410-23-8",0.383076828958483
"2390-60-5","2390-60-5","2390-60-5",1.05271420129547
"67747-09-5","67747-09-5","67747-09-5",0.332514247430115
"101-84-8","101-84-8","101-84-8",0.521916035341969
"5405-41-4","5405-41-4","5405-41-4",1.00802821490694
"133-06-2","133-06-2","133-06-2",0.0346779308063834
"1541-81-7","1541-81-7","1541-81-7",0.221553877612564
"66-27-3","66-27-3","66-27-3",0.190743385341498
"119-47-1","119-47-1","119-47-1",0.14762085843898
"79-09-4","79-09-4","79-09-4",0.166738931428208
"142-16-5","142-16-5","142-16-5",0.381758551274746
"62-75-9","62-75-9","62-75-9",0.487335016877456
"50-14-6","50-14-6","50-14-6",0.708355325712221
"684-93-5","684-93-5","684-93-5",0.116647603513572
"2310-17-0","2310-17-0","2310-17-0",0.286343467350278
"2588-04-7","2588-04-7","2588-04-7",0.0283722625664283
"77-93-0","77-93-0","77-93-0",0.371194933083072
"76-44-8","76-44-8","76-44-8",1.48172785985066
"480-40-0","480-40-0","480-40-0",0.00605587166647538
"81335-77-5","81335-77-5","81335-77-5",0.715052869358995
"95-94-3","95-94-3","95-94-3",0.104860351490732
"140-66-9","140-66-9","140-66-9",0.141942700027375
"115-95-7","115-95-7","115-95-7",1.22041445135394
"142-31-4","142-31-4","142-31-4",0.309379216906289
"95-56-7","95-56-7","95-56-7",0.349079212497116
"16529-56-9","16529-56-9","16529-56-9",0.247249533420773
