"Predict"	"Real"
"123-00-2"	0.0266479663394109	0
"60-54-8"	0.0899182561307902	0
"106-46-7"	0.03125	0
"1610-18-0"	0.84	1
"824-39-5"	0.0899182561307902	0
"18924-66-8"	0.0266479663394109	0
"76738-62-0"	0.0899182561307902	1
"719-59-5"	0.0899182561307902	0
"140-49-8"	0.0899182561307902	0
"125-84-8"	0.0899182561307902	0
"5153-25-3"	0.0899182561307902	0
"120068-37-3"	0.0327868852459016	0
"1114-71-2"	0.0266479663394109	0
"113-48-4"	0.0266479663394109	0
"NOCAS_47366"	0.0899182561307902	0
"7786-61-0"	1	0
"151-05-3"	0.0266479663394109	0
"461023-63-2"	0.0327868852459016	0
"1885-29-6"	0.0588235294117647	0
"3388-04-3"	0.0266479663394109	0
"6381-77-7"	0.0266479663394109	0
"39515-41-8"	0.0327868852459016	0
"138-22-7"	0.0266479663394109	0
"3825-26-1"	0.0266479663394109	0
"110-80-5"	0.0266479663394109	0
"79-43-6"	0.0266479663394109	0
"73-31-4"	0.0899182561307902	0
"123-15-9"	0.0266479663394109	0
"121-69-7"	0.0266479663394109	0
"2444-46-4"	0	0
"33228-44-3"	0.84	0
"480-40-0"	0.166666666666667	0
"59-67-6"	0.0266479663394109	0
"344930-95-6"	0	0
"105-21-5"	0.0266479663394109	0
"301-00-8"	0.0266479663394109	0
"615-13-4"	0.0899182561307902	0
"4162-45-2"	0	0
"51-21-8"	0.0266479663394109	0
"94361-06-5"	0.0899182561307902	1
"1120-71-4"	0.0266479663394109	0
"72-43-5"	0	0
"23184-66-9"	0.0899182561307902	0
"706-14-9"	0.0266479663394109	0
"5349-51-9"	0.0266479663394109	0
"NOCAS_48514"	0.0899182561307902	0
"54464-57-2"	0.0625	0
"5915-41-3"	0.84	1
"3424-82-6"	0.03125	0
"194098-25-4"	0.0899182561307902	0
"120-95-6"	0.0899182561307902	0
"2439-01-2"	0.0266479663394109	0
"60-35-5"	0.0266479663394109	0
"109-97-7"	0.0266479663394109	0
"54-31-9"	0.0899182561307902	0
"19660-16-3"	0.0266479663394109	0
"131860-33-8"	0.909090909090909	0
"1445-75-6"	0.0266479663394109	0
"107-92-6"	0.0266479663394109	0
"65-71-4"	0.0266479663394109	0
"82657-04-3"	0.0899182561307902	0
"56507-37-0"	0.0266479663394109	0
"712-50-5"	0.0266479663394109	0
"87-62-7"	0.03125	0
"163515-14-8"	0.0899182561307902	0
"117337-19-6"	1	0
"117-39-5"	0	0
"54-85-3"	0.0266479663394109	0
"486-56-6"	0.0266479663394109	0
"576-26-1"	0.03125	0
"58-08-2"	0.0266479663394109	0
"79538-32-2"	0.0899182561307902	1
"91-20-3"	0.0625	0
"6385-62-2"	0	0
"928-96-1"	0.0266479663394109	0
"610-39-9"	0.0899182561307902	0
"1459-93-4"	0.0899182561307902	1
"107-88-0"	0.0266479663394109	0
"41372-08-1"	0	0
"827-19-0"	0.0899182561307902	0
"50-14-6"	0.0266479663394109	0
"91-67-8"	0.03125	0
"17924-92-4"	0.166666666666667	0
"123312-89-0"	0.0266479663394109	0
"129298-91-5"	0.0266479663394109	0
"53-03-2"	0.0625	0
"7659-86-1"	0.0266479663394109	0
"116-29-0"	0.0899182561307902	0
"122-73-6"	0.0266479663394109	0
"110-27-0"	0.0266479663394109	0
"92-87-5"	0.84	1
"349495-42-7"	0.0899182561307902	1
"623-36-9"	0.0266479663394109	0
"64359-81-5"	0.0899182561307902	0
"243973-20-8"	1	0
"650-51-1"	0.0266479663394109	0
"110488-70-5"	0.916666666666667	1
"144-49-0"	0.0266479663394109	0
"111-34-2"	0.0266479663394109	0
"35575-96-3"	0.0266479663394109	0
"115-32-2"	0.0899182561307902	0
"2303-17-5"	0.0266479663394109	0
"108-38-3"	0.03125	0
"134-20-3"	0.0899182561307902	0
"123-51-3"	0.0266479663394109	0
"1061517-62-1"	0.0327868852459016	0
"126-72-7"	0.0266479663394109	0
"76-83-5"	0	0
"1912-24-9"	1	1
"159138-81-5"	0.0899182561307902	0
"50-69-1"	0.0266479663394109	0
"7786-34-7"	0.0266479663394109	0
"79-24-3"	0.0266479663394109	0
"78-07-9"	0.0266479663394109	0
"1194-65-6"	0.03125	0
"587-65-5"	0.0266479663394109	0
"52-86-8"	0.0899182561307902	0
"63-25-2"	0	1
"101-61-1"	0.833333333333333	0
"6317-18-6"	0.0266479663394109	0
"6190-65-4"	1	1
"87-91-2"	0.0266479663394109	0
"NOCAS_47291"	0.0899182561307902	1
"2680-03-7"	0.0266479663394109	0
"55-38-9"	1	1
"220860-50-4"	0.0899182561307902	1
"307-24-4"	0.0266479663394109	0
"5146-66-7"	0.0266479663394109	0
"3653-48-3"	0.0899182561307902	0
"115-29-7"	0.0266479663394109	0
"5392-40-5"	0.0266479663394109	0
"827-94-1"	0.0899182561307902	0
"586-62-9"	0.0266479663394109	0
"98-07-7"	0.0266479663394109	0
"108-45-2"	0.84	0
"143-50-0"	0.0266479663394109	0
"106-30-9"	0.0266479663394109	0
"1478-61-1"	0.0327868852459016	0
"109-52-4"	0.0266479663394109	0
"1470-94-6"	0.84	1
"109-55-7"	0.0266479663394109	0
"98-02-2"	0.0266479663394109	0
"2835-39-4"	0.0266479663394109	0
"585-34-2"	0.84	0
"82-44-0"	0.0899182561307902	1
"636-21-5"	0.03125	0
"64-67-5"	0.0266479663394109	0
"512-56-1"	0.0266479663394109	0
"76014-81-8"	0.0266479663394109	0
"3737-41-5"	0.0266479663394109	0
"496-46-8"	0.0266479663394109	0
"14351-66-7"	0.0625	0
"5103-74-2"	0.0266479663394109	0
"NOCAS_47342"	0	0
"117-84-0"	0.0899182561307902	0
"59669-26-0"	0.0266479663394109	0
"17418-58-5"	0.909090909090909	0
"3547-33-9"	0.0266479663394109	0
"99-54-7"	0.0899182561307902	0
"1702-17-6"	0.0595854922279793	0
"484-17-3"	0.833333333333333	0
"1338-43-8"	0.0224089635854342	0
"50-21-5"	0.0224089635854342	0
"57-83-0"	0.0224089635854342	0
"569-64-2"	0.2	0
"93-52-7"	0.0224089635854342	0
"152019-73-3"	0.0595854922279793	0
"6283-25-6"	0.0595854922279793	0
"20780-48-7"	0.0224089635854342	0
"6440-58-0"	0.0224089635854342	0
"134-03-2"	0.0224089635854342	0
"102-27-2"	0.0595854922279793	0
"2310-17-0"	0.0224089635854342	0
"86479-06-3"	0.0595854922279793	0
"78491-02-8"	0.0224089635854342	0
"72-20-8"	0.0224089635854342	0
"2971-36-0"	0.0909090909090909	1
"NOCAS_47346"	0.0224089635854342	0
"19774-82-4"	0.0188679245283019	0
"117-79-3"	0.0188679245283019	1
"645-62-5"	0.0224089635854342	0
"110-12-3"	0.0224089635854342	0
"3391-86-4"	0.0224089635854342	0
"115-96-8"	0.0224089635854342	0
"79-57-2"	0.0595854922279793	0
"57-50-1"	0.0224089635854342	0
"3319-31-1"	1	0
"6117-91-5"	0.0224089635854342	0
"36653-82-4"	0.0224089635854342	0
"999-97-3"	0.0224089635854342	0
"104-67-6"	0.0224089635854342	0
"97886-45-8"	0.0595854922279793	0
"58-85-5"	0.0224089635854342	0
"76-44-8"	0.0224089635854342	0
"439687-69-1"	0.0595854922279793	0
"628-63-7"	0.0224089635854342	0
"39236-46-9"	0.0224089635854342	0
"4291-63-8"	1	1
"283594-90-1"	0.0595854922279793	0
"10453-86-8"	0	0
"34256-82-1"	0.0595854922279793	0
"29548-30-9"	0.0224089635854342	0
"3739-38-6"	0.113207547169811	0
"219790-72-4"	0.0188679245283019	0
"1062243-51-9"	0.0188679245283019	0
"NOCAS_47311"	0.25	1
"7747-35-5"	0.0224089635854342	0
"834-12-8"	1	1
"123-42-2"	0.0224089635854342	0
"135-98-8"	0.0224089635854342	0
"153719-23-4"	0.0595854922279793	0
"4553-62-2"	0.0224089635854342	0
"35691-65-7"	0.0224089635854342	0
"127-39-9"	0.0224089635854342	0
"111-21-7"	0.0224089635854342	0
"860-22-0"	0.0595854922279793	0
"123-25-1"	0.0224089635854342	0
"1067-53-4"	0.0224089635854342	0
"2390-60-5"	0	0
"3811-73-2"	0.0224089635854342	0
"57-30-7"	0.0224089635854342	0
"103-09-3"	0.0224089635854342	0
"682-01-9"	0.0224089635854342	0
"76703-62-3"	0.0595854922279793	0
"78-42-2"	0.0224089635854342	0
"119446-68-3"	0.25	1
"534-13-4"	0.0224089635854342	0
"30560-19-1"	0.0224089635854342	0
"150-46-9"	0.0224089635854342	0
"556-61-6"	0.0224089635854342	0
"50-70-4"	0.0224089635854342	0
"526-73-8"	0.0595854922279793	0
"60-57-1"	0.0224089635854342	0
"20120-33-6"	0.0224089635854342	0
"139290-65-6"	0.0188679245283019	0
"77-92-9"	0.0224089635854342	0
"30516-87-1"	0.0224089635854342	0
"2451-62-9"	0.0224089635854342	0
"695-06-7"	0.0224089635854342	0
"611-14-3"	0.0595854922279793	0
"19721-22-3"	0.0224089635854342	0
"131-52-2"	0.0909090909090909	0
"112-80-1"	0.0224089635854342	0
"110-93-0"	0.0224089635854342	0
"15214-89-8"	0.0224089635854342	0
"51218-45-2"	0.0595854922279793	0
"80-09-1"	0.0595854922279793	0
"NOCAS_47377"	0.0188679245283019	0
"98-53-3"	0.0224089635854342	0
"74051-80-2"	0.0224089635854342	1
"334-48-5"	0.0224089635854342	0
"106-25-2"	0.0224089635854342	0
"147150-35-4"	0.0595854922279793	0
"927-62-8"	0.0224089635854342	0
"26225-79-6"	0.0595854922279793	0
"22915-73-7"	0.113207547169811	0
"500-38-9"	0	0
"121-14-2"	0.0595854922279793	0
"13311-84-7"	0.0595854922279793	0
"104-54-1"	0.0224089635854342	1
"134-62-3"	0.0595854922279793	0
"98-00-0"	0.0224089635854342	0
"2426-54-2"	0.0224089635854342	0
"1987-50-4"	0.0909090909090909	0
"836-30-6"	0.113207547169811	0
"127-07-1"	0.0224089635854342	0
"22781-23-3"	1	1
"98-95-3"	0.0224089635854342	0
"584-84-9"	0.0595854922279793	0
"7212-44-4"	0.0224089635854342	0
"478149-53-0"	0.0224089635854342	0
"2409-55-4"	0.0595854922279793	0
"617-89-0"	0.0224089635854342	0
"118-71-8"	0.0595854922279793	0
"108-93-0"	0.0224089635854342	0
"88671-89-0"	0.113207547169811	0
"103-56-0"	0.0224089635854342	0
"87820-88-0"	0.0595854922279793	0
"12427-38-2"	0.0224089635854342	0
"3173-72-6"	0.113207547169811	0
"206-44-0"	0.113207547169811	1
"485-31-4"	0.0595854922279793	0
"149413-74-1"	1	0
"126-98-7"	0.0224089635854342	0
"230954-09-3"	0	0
"2835-95-2"	0.0595854922279793	1
"3056-17-5"	0.0224089635854342	0
"141-04-8"	0.0224089635854342	0
"821-55-6"	0.0224089635854342	0
