"Predict"	"Real"
"123-00-2"	0.00576492334477862	0
"60-54-8"	0.0264393753071656	0
"106-46-7"	0.0101869922844063	0
"1610-18-0"	0.962280881173357	1
"824-39-5"	0.0075344661624022	0
"18924-66-8"	0.00285131306486008	0
"76738-62-0"	0.0130132477792158	1
"719-59-5"	0.529418804171246	0
"140-49-8"	0.0168289548455157	0
"125-84-8"	0.0292990414347624	0
"5153-25-3"	0.0566737206041051	0
"120068-37-3"	0.0210935972779449	0
"1114-71-2"	0.0223946389611164	0
"113-48-4"	0.0105186888330927	0
"NOCAS_47366"	0.0283458468218631	0
"7786-61-0"	0.415387709712516	0
"151-05-3"	0.0274207330955975	0
"461023-63-2"	0.26889610204956	0
"1885-29-6"	0.0855185459767298	0
"3388-04-3"	0.0540939522683238	0
"6381-77-7"	0.0015457333745671	0
"39515-41-8"	0.04079749590165	0
"138-22-7"	0.00584443005493843	0
"3825-26-1"	0.00995295749119788	0
"110-80-5"	0.00205623822264399	0
"79-43-6"	0.00207660802386519	0
"73-31-4"	0.00617668324314384	0
"123-15-9"	0.0038553031172601	0
"121-69-7"	0.0298498014909807	0
"2444-46-4"	0.03175552715883	0
"33228-44-3"	0.277718575007034	0
"480-40-0"	0.682632173224656	0
"59-67-6"	0.0028415643920833	0
"344930-95-6"	0.562826841380527	0
"105-21-5"	0.0106680662228487	0
"301-00-8"	0.00670605870020768	0
"615-13-4"	0.146757750143753	0
"4162-45-2"	0.482550399934814	0
"51-21-8"	0.000786762211701103	0
"94361-06-5"	0.0243507162380633	1
"1120-71-4"	0.000887129224845974	0
"72-43-5"	0.164307904184335	0
"23184-66-9"	0.00230648403088115	0
"706-14-9"	0.0225162916524393	0
"5349-51-9"	0.311224214253782	0
"NOCAS_48514"	0.0694369722538101	0
"54464-57-2"	0.184431929765452	0
"5915-41-3"	0.879831345385881	1
"3424-82-6"	0.00452487090912868	0
"194098-25-4"	0.00719976303036393	0
"120-95-6"	0.0150625271229349	0
"2439-01-2"	0.0628552372406264	0
"60-35-5"	0.00315476614070957	0
"109-97-7"	0.00270732932449728	0
"54-31-9"	0.000167402579208095	0
"19660-16-3"	0.0316028117390486	0
"131860-33-8"	0.0998234155479672	0
"1445-75-6"	0.00630596796342922	0
"107-92-6"	0.00195078833233052	0
"65-71-4"	0.000494311726008966	0
"82657-04-3"	0.0137201886828582	0
"56507-37-0"	0.000691921448863202	0
"712-50-5"	0.043944253032167	0
"87-62-7"	0.103072277412333	0
"163515-14-8"	0.00143782113907669	0
"117337-19-6"	0.530987668495725	0
"117-39-5"	0.159102003919965	0
"54-85-3"	0.000721305515059923	0
"486-56-6"	0.049638931134885	0
"576-26-1"	0.0664629967845728	0
"58-08-2"	0.114948699565267	0
"79538-32-2"	0.00606658558058798	1
"91-20-3"	0.0160241629133151	0
"6385-62-2"	0.170299967601613	0
"928-96-1"	0.00868706201426736	0
"610-39-9"	0.0132945290184057	0
"1459-93-4"	0.0619070312804748	1
"107-88-0"	0.00752462446464985	0
"41372-08-1"	0.000243100753751024	0
"827-19-0"	0.00736662910411187	0
"50-14-6"	0.00981691207047082	0
"91-67-8"	0.0213365326298135	0
"17924-92-4"	0.857531571950789	0
"123312-89-0"	0.00045636735194498	0
"129298-91-5"	0.00261888391861903	0
"53-03-2"	0.397538771975535	0
"7659-86-1"	0.0187536489132883	0
"116-29-0"	0.0131253156829164	0
"122-73-6"	0.015528310651305	0
"110-27-0"	0.00821246488436825	0
"92-87-5"	0.985727755662461	1
"349495-42-7"	0.533360219583509	1
"623-36-9"	0.00938437066934486	0
"64359-81-5"	0.0104621590999118	0
"243973-20-8"	0.829687523445466	0
"650-51-1"	0.0639799457790086	0
"110488-70-5"	0.070427716383638	1
"144-49-0"	0.000291925046293685	0
"111-34-2"	0.00859601347273847	0
"35575-96-3"	0.567753035296835	0
"115-32-2"	0.00764367190227859	0
"2303-17-5"	0.272927186727647	0
"108-38-3"	0.0047249317117769	0
"134-20-3"	0.0103973666742984	0
"123-51-3"	0.00537129613538705	0
"1061517-62-1"	0.0725075318532656	0
"126-72-7"	0.000991219128600115	0
"76-83-5"	0.00320042353702097	0
"1912-24-9"	0.943450138112199	1
"159138-81-5"	0.0023626630795291	0
"50-69-1"	0.00475555991125775	0
"7786-34-7"	0.0114875655702144	0
"79-24-3"	0.00039884772198264	0
"78-07-9"	0.0122952346481453	0
"1194-65-6"	0.0202455549033167	0
"587-65-5"	0.0601633836256989	0
"52-86-8"	0.130818331016158	0
"63-25-2"	0.119977561373926	1
"101-61-1"	0.272493336834647	0
"6317-18-6"	0.0356261195903814	0
"6190-65-4"	0.962937294792896	1
"87-91-2"	0.0035119400505366	0
"NOCAS_47291"	0.36430331401983	1
"2680-03-7"	0.0015869736549844	0
