"","x"
"120-56-9",0.0923295315337865
"50-81-7",0.00344664265629838
"300-76-5",0.664275365452481
"96-48-0",0.0027769621179308
"74115-24-5",0.963208600155887
"7005-72-3",0.760960608140877
"1760-24-3",0.00600149558491903
"6734-80-1",0.00969703052976025
"64700-56-7",0.00607297197555352
"88-10-8",0.0089950461998419
"877-24-7",0.024115935317782
"57-74-9",0.0902966968868332
"96-29-7",0.0157052291585725
"695-06-7",0.0235346527461047
"171118-09-5",0.0209755904412665
"3547-33-9",0.0165080587135392
"97-59-6",0.198008880803244
"538-75-0",0.0353479363192688
"452-58-4",0.145437304788543
"700-13-0",0.15692835565238
"70-30-4",0.189156807618051
"87674-68-8",0.00271263971135745
"124-19-6",0.00413666190688598
"682-01-9",0.00830725171173269
"5138-18-1",0.000679426502101065
"25057-89-0",0.0779098310873971
"105-53-3",0.00255391537773374
"98105-99-8",0.792825744895612
"112-18-5",0.00100618073641507
"319-86-8",0.926636920406228
"63612-50-0",0.00130360735384718
"828-00-2",0.0402416464432926
"21145-77-7",0.00217680098380222
"85264-33-1",0.00653631290880429
"13311-84-7",0.00101550738277236
"108-80-5",0.99078668783577
"100-97-0",0.0187132637190591
"155990-20-8",0.0392445583281153
"137-26-8",0.0815224413278989
"5888-33-5",0.00228207795105524
"2445-77-4",0.0081223253674609
"7786-34-7",0.00869103892519675
"104-72-3",0.00774902767797885
"2303-17-5",0.134155261936932
"35045-02-4",0.00676772994722127
"732-26-3",0.000547806171740468
"112-80-1",0.0102645145859241
"111-82-0",0.00467934868476904
"123-15-9",0.00185361400168055
"108-93-0",0.00561616055710328
"90-94-8",0.0503978301640612
"5700-49-2",0.0100309376044048
"860-22-0",0.00670395097272621
"134-32-7",0.728456095947582
"532-32-1",0.0346350196674048
"78-97-7",0.0184705973403584
"80-43-3",0.203020365362097
"83-67-0",0.0020066665027549
"58846-77-8",0.00625415961634799
"29836-26-8",0.0032788884174845
"81335-37-7",0.00736650180543094
"146011-65-6",0.169132934448711
"1582-09-8",0.00546452383212405
"153719-23-4",2.5400714726584e-05
"2634-33-5",0.0128002224078557
"23564-05-8",0.00293281474817466
"91-64-5",0.0174297211996804
"18924-66-8",0.00179149288225327
"134-20-3",0.0130099576281411
"635-22-3",0.0530212361285162
"565-80-0",0.00117497296410044
"116-66-5",0.0786095293433465
"446-72-0",0.281096661812735
"6789-88-4",0.00503947099625316
"59-67-6",0.0036010119482581
"52806-53-8",0.00013229761442791
"18794-84-8",0.00308333085104633
"2807-30-9",0.00383933941262414
"111-70-6",0.0447176289992584
"141-93-5",0.00279145910873191
"3296-90-0",0.0328433382147867
"68-11-1",0.00505780421009177
"102-27-2",0.0295443590347999
"96-18-4",0.0026477848355686
"110-52-1",0.0278757477435799
"19044-88-3",0.000430613587308703
"1569-60-4",0.00920845241444572
"113734-18-2",0.000391305374070293
"57-11-4",0.0111645008441255
"133-90-4",0.031419309209391
"67786-14-5",0.549643542439076
"1762-95-4",3.30582601797598e-11
"98967-40-9",0.0259699776971876
"41481-66-7",0.196656117708224
"88-72-2",0.0130067747708256
"122-99-6",0.142722321912439
"112-49-2",0.115010592811369
"23779-32-0",0.0066100828530792
"51384-51-1",0.0530529233161264
"25168-05-2",0.00117821908160796
"619-50-1",0.00776114588377908
"88-12-0",0.00305446486434161
"123122-55-4",0.336119146001034
"5216-25-1",0.00187334258571351
"135080-03-4",0.108492209384926
"7540-51-4",0.00977879260082517
"98-00-0",0.00207322051415851
"2550-40-5",0.0687713609936679
"770-35-4",0.125682485732889
"94-71-3",0.122282883790072
"219790-72-4",0.660490599522578
"330-54-1",0.133705110569558
"109-02-4",0.000316353175199989
"20120-33-6",0.0101550916218016
"1062243-51-9",0.436074188772003
"35575-96-3",0.649237044922432
"106-46-7",0.0157075360630032
"13301-61-6",0.0208484863932942
"51-05-8",0.00151896842967568
"2694-54-4",0.0127065889263671
"90-30-2",0.58806537097295
"112-63-0",0.00952069590293946
"489-01-0",0.0140575498394206
"115-18-4",0.0120523366538238
"152019-73-3",0.0018772735827337
"116-06-3",0.084121041674524
"122-19-0",0.00753455423750358
"112-55-0",0.00557634081484395
"512-42-5",0.00104370061614769
"6846-50-0",0.0111674675133799
"6359-98-4",0.0103208444273664
"120068-37-3",0.30652369914039
"50-21-5",0.00572991923025306
"115-84-4",0.000932907087283314
"4418-26-2",0.00152131263040605
"588941-45-1",0.080431982452226
"87820-88-0",0.0380113034585265
"629-62-9",0.002063310863939
"1163-19-5",0.995836439294885
"39236-46-9",0.481219422156602
"57-30-7",0.000516366698496186
"53-19-0",0.0101122178078087
"548-62-9",0.0152189517755697
"92-04-6",0.833399361161622
"825643-57-0",0.610866508403372
"130-14-3",0.0133100062977839
"5137-55-3",0.058094969843873
"16219-75-3",0.0192678540014451
"542-92-7",0.00518848864516614
"124-76-5",0.00107673807168424
"1885-29-6",0.0948009475963433
"55335-06-3",0.00495457958599179
"1338-43-8",0.00625573429677636
"187022-11-3",0.00764674119019506
"732-11-6",0.927540681342217
"58-89-9",0.926636920406228
"108-95-2",0.0767646082734458
"464-48-2",0.000656273833624733
"1212-29-9",0.863967011467654
"173584-44-6",0.105493056935172
"420-04-2",0.0362497276661376
"6175-45-7",0.0568294586572659
"101-81-5",0.00586399811508687
"7659-86-1",0.020818274818593
"20780-48-7",0.00188939990909124
"95-63-6",0.000510653920867428
"99-87-6",0.000765440805969007
"23128-74-7",1.86604067763865e-05
"68694-11-1",0.0236921452904021
"122-01-0",0.0339701110704008
"2648-61-5",0.00282459432706137
"644-97-3",4.40195087175659e-06
"111-55-7",0.0010980382019605
"132-64-9",0.173060646296621
"145-73-3",0.540550004621141
"77-09-8",0.0909228111622189
"510-15-6",0.0770596010132113
"138-22-7",0.00447168369484319
"122931-48-0",0.0143641571960509
"3825-26-1",0.00409324175452771
"77-47-4",0.000725771712741511
"108-45-2",0.794323337714306
"145701-21-9",0.370438633357439
"610-39-9",0.0301555666093301
"123-33-1",0.00062724785647408
"2627-95-4",8.14422855119908e-05
"103-90-2",0.00123579397669088
"94-96-2",0.00109971227657163
"110-69-0",0.0243769846261992
"6440-58-0",0.0140531506846339
"2176-62-7",0.00222768567658367
"929601-09-2",0.25678023445349
"141-91-3",0.00408527551009867
"121-39-1",0.0142746346660572
"144-74-1",0.327108593334472
"105-31-7",0.0159856023674073
"716-79-0",0.154448107050988
"75980-60-8",0.00148641784980708
"23089-26-1",0.0027602729766904
"89-61-2",0.029995282148418
"111-40-0",0.00943608383514391
"1656-48-0",0.0335938606367328
"203942-49-8",0.00359067450085631
"111-20-6",0.00236951238107681
"446-86-6",0.00023736099777026
"556-52-5",0.00101727537139146
"628-63-7",0.00419727153806668
"119-36-8",0.0210688666608073
"1907-65-9",0.00198618020632281
"650-51-1",0.0592444259124803
"126-72-7",0.015241357482342
"24157-81-1",0.00974878361237296
"2104-64-5",0.192732857479599
"5915-41-3",0.991013420953305
"4707-47-5",0.0681620086515183
"66575-29-9",0.0115932578699881
"112-05-0",0.017991869047609
"23422-53-9",0.00874317279038464
"2481-94-9",0.919090818718152
"32809-16-8",0.00775837192476125
"23950-58-5",0.161859745787609
"580-51-8",0.878194590482426
"93-15-2",0.304600970419112
"88-06-2",0.727440368514269
"3120-74-9",0.756816067221857
"NOCAS_47374",0.0106663957710341
"120-21-8",0.00838989072389896
"106-44-5",0.226999004314921
"2835-95-2",0.0609340759389351
"118-56-9",0.0327634532607058
"95737-68-1",0.668031460427766
"120-80-9",0.0986232621624495
"57-97-6",0.331949488648398
"6358-53-8",0.952509446582471
"349495-42-7",0.23859004263961
"42874-03-3",0.0602252582323113
"122-39-4",0.732593755357182
"2032-65-7",0.461943334582983
"52645-53-1",0.0158421586296267
