"","x"
"70630-17-0",0.000599153887465037
"1929-73-3",0.0153904050987479
"98-87-3",0.0113359002779227
"15708-41-5",0.00202702656475427
"3844-45-9",0.000772468586942152
"112529-15-4",0.328692182878718
"1672-46-4",0.00528543020200179
"124-05-0",0.0138957436132436
"2008-41-5",0.0318365228188065
"87-13-8",0.000921641313363974
"25606-41-1",0.00600272086526145
"2782-57-2",0.00817340932799683
"361343-19-3",0.0420195996420767
"630-56-8",0.00136454106297944
"3926-62-3",0.00626650253455746
"69655-05-6",0.0163270358334066
"141-04-8",0.0256343049235489
"56507-37-0",0.00173855790664573
"616-45-5",0.00141012462829476
"826-62-0",0.104585671907305
"100-00-5",0.0102150153938074
"104-90-5",0.00326499044276073
"107-88-0",0.00321961455063519
"99-55-8",0.0287344518804817
"90-04-0",0.0795663375795091
"126-75-0",0.0358558947864324
"52-51-7",0.00653854490252501
"109-04-6",0.00892015132066174
"587-65-5",0.0433294200131698
"334-48-5",0.0169183825719493
"21087-64-9",0.0197130918742216
"487-68-3",0.00879098869042834
"108-94-1",0.00100776648670348
"75330-75-5",0.0138603723247114
"707-61-9",0.00351059271546792
"72-43-5",0.0998592318719346
"57-63-6",0.249058849415279
"78-48-8",0.0121296416788012
"110-80-5",0.00499474951556548
"106-23-0",0.0032418822785722
"114-07-8",0.0017774606399655
"64-10-8",0.00630715369227909
"108-87-2",0.000878897623851764
"1929-77-7",0.00665544924701615
"118-52-5",0.000767443210455639
"85509-19-9",0.0171882474928863
"484-17-3",0.688529394724345
"609-54-1",0.0617541552136158
"4390-04-9",0.00020419905039186
"23135-22-0",0.00411548974289205
"111-69-3",0.00157312974199426
"122454-29-9",0.0501672936073011
"375-95-1",0.00448708652828888
"51-21-8",0.0100354430550903
"68844-77-9",0.265896122703408
"17420-30-3",0.00878925664916486
"76014-81-8",0.00802754274319449
"576-26-1",0.0533693959017983
"77-06-5",0.531037921977302
"725228-45-5",0.0527297403845629
"4180-23-8",0.326132484297066
"643-79-8",0.187435063396956
"139-87-7",0.0104378126317085
"7786-61-0",0.282456667052376
"95-32-9",0.277818008531045
"110-33-8",0.006078713874318
"2859-67-8",0.105372032698259
"5850-86-2",0.118540242355499
"127-47-9",0.0392852037079131
"68-26-8",0.0432130068148246
"34014-18-1",0.00485605919772733
"962-58-3",0.192927822571775
"92-52-4",0.0328364719480777
"51235-04-2",0.0410263911270962
"51580-86-0",0.0134952035800754
"584-13-4",0.0146740449842052
"57018-04-9",0.929096042191542
"27138-31-4",0.370698744764974
"1918-00-9",0.0275652392323352
"81-30-1",0.0758326586315891
"111-85-3",0.00225896116458993
"51229-78-8",0.0210998112757153
"485-31-4",0.0182316389474739
"361377-29-9",0.7534432847818
"116-17-6",0.0873892598144664
"3026-63-9",0.00145664014527946
"87-62-7",0.0638037577124488
"51630-58-1",0.138843700921878
"56-04-2",0.00029272625281033
"3913-02-8",0.00987374544735194
"50892-23-4",0.0103315361989536
"67-20-9",0.000244611799670527
"16752-77-5",0.0303086374100527
"111-90-0",0.0176423673803447
"31519-22-9",0.00802998282653079
"864283-48-7",0.0832971644967815
"110-15-6",0.00920886202847464
"131-17-9",0.014678288021772
"71283-80-2",0.48340698272435
"69327-76-0",0.0228518240815224
"873-32-5",0.0344272811679103
"142-29-0",0.0022056203110519
"127308-82-1",0.308699454222455
"101-10-0",0.121665561342199
"13171-00-1",0.00381790763584635
"668981-02-0",0.0632415547480851
"95266-40-3",0.0933769832583146
"107-75-5",0.00468730932172898
"1034-01-1",0.0186822860306054
"3033-77-0",0.000559897984644976
"NOCAS_47353",0.00467493898587749
"67485-29-4",0.0148510156954785
"496-46-8",0.476416562508845
"2402-78-0",0.00348380051580127
"186392-65-4",0.00630205721083707
"1646-75-9",0.145520990466702
"111-27-3",0.0118097664384709
"83-41-0",0.0122818220203474
"68959-20-6",0.00472611955101581
"109-08-0",0.00197924663547914
"35691-65-7",0.00393213285078331
"924-16-3",0.00136371212185828
"82-68-8",0.00128633650988579
"69-65-8",0.00252570150386215
"103361-09-7",0.093634087310894
"3006-93-7",0.045502320862188
"42978-66-5",0.00694872236473065
"585-34-2",0.125485836572345
"15046-75-0",0.00451501651745441
"78-62-6",0.00152599252926772
"3855-32-1",0.00222078796341783
"7492-66-2",0.0781459494201703
"6842-15-5",0.00538701901744975
"78491-02-8",0.00116383043135901
"108-31-6",0.000882071346402202
"87-91-2",0.00216554006544807
"124-13-0",0.0030430002486035
"4437-85-8",0.0235256169101381
"3277-26-7",0.00129608501870565
"219714-96-2",0.114588116556574
"72178-02-0",0.00381235996612817
"59-05-2",0.0166264789344399
"5146-66-7",0.00186767204221974
"57-09-0",0.00120120279936323
"112410-23-8",0.00323806038606937
"2390-60-5",0.0100124996477333
"67747-09-5",0.0508250443784306
"101-84-8",0.399508126119748
"5405-41-4",0.00583258397703093
"133-06-2",0.0161588307045663
"1541-81-7",0.00937893243026839
"66-27-3",0.00464899916400274
"119-47-1",0.0290263832716807
"79-09-4",0.00244628955047573
"142-16-5",0.00224260764682834
"62-75-9",0.00800130781510852
"50-14-6",0.0298146376226899
"684-93-5",0.0415816201538239
"2310-17-0",0.966997039330712
"2588-04-7",0.00157187636832398
"77-93-0",0.0043220611597124
"76-44-8",0.0269956877870372
"480-40-0",0.396258423800319
"81335-77-5",0.00275307619648136
"95-94-3",0.00970314017584677
"140-66-9",0.0208702690781854
"115-95-7",0.0030299661911937
"142-31-4",0.00553622621085799
"95-56-7",0.32523328872063
"16529-56-9",0.00104636567016943
"65-23-6",0.00586258530716855
"60-56-0",0.0212856048218279
"108-74-7",0.0209128874113568
"2058-46-0",0.0195078925258756
"1689-84-5",0.149270328504359
"98-86-2",0.00680926477973224
"1939-36-2",0.00156560213051255
"623-36-9",0.0048596640264219
"110-93-0",0.00728276610483244
"51218-45-2",0.00476752659187209
"556-67-2",0.0046096833200001
"51-28-5",0.223514892812121
"135-20-6",0.000342881172646203
"75-99-0",0.001860194331066
"6359-90-6",0.14541869781072
"105-99-7",0.00350019241255161
"116-02-9",0.00329383684395788
"82640-04-8",0.0245420194783349
"533-23-3",0.0379285880584004
"621-64-7",0.00282604033651211
"126-30-7",0.00837815615756484
"108-46-3",0.135842122194652
"125116-23-6",0.424657927677518
"134605-64-4",0.0547107352916714
"627-18-9",0.090487432741769
"298-46-4",0.0855611932851292
"10453-86-8",0.00388412914975857
"4376-20-9",0.0100195246721874
"874-60-2",0.01688650598785
"81-61-8",0.259375840736445
"134-03-2",0.00168109885995911
"68-12-2",0.00356011484440296
"58394-64-2",0.00787353984255859
"60-54-8",0.0312704155592109
"19721-22-3",0.000382134443308378
"5103-74-2",0.00197859434951619
"104-45-0",0.263399282659918
"23696-85-7",0.00609464659651261
"57966-95-7",0.0028274447662694
"94-26-8",0.0222724797187668
"NOCAS_47267",0.0113105751888843
"298-04-4",0.607391980963048
"20265-97-8",0.137270290930362
"140-95-4",0.0330123931193247
"123-01-3",0.00838389983688506
"NOCAS_47255",0.000185624500966376
"140-08-9",0.00295972770073434
"2425-77-6",0.0127402295824337
"57-41-0",0.0181547095193859
"3739-38-6",0.272105937132047
"579-66-8",0.0802345865002676
"4584-49-0",0.00174991653420474
"1024-57-3",0.0129116740994861
"2416-94-6",0.0308053297323106
"55283-68-6",0.00453623318417587
"103-56-0",0.0574811904246681
"78-07-9",0.00703490621679333
"81-81-2",0.160098208654006
"25956-17-6",0.0237495071031327
"99-99-0",0.00670267278789276
"99-85-4",0.00615981939508719
"569-64-2",0.00961146721357344
"10016-20-3",0.00426239815394887
"19774-82-4",0.005195098187783
"584-03-2",0.00490587964957672
"1191914-21-2",0.000446888191981964
"115-96-8",0.00404938410988719
"106-22-9",0.0186061089430551
"645-62-5",0.00393402660825435
"56-37-1",0.0068223331508202
"50471-44-8",0.0334475585945956
"92-68-2",0.0367451474640843
"289716-94-5",0.676398905669114
"50-33-9",0.00286725603859878
"611-59-6",0.00527892360123675
"104-51-8",0.00782110853637399
"90-12-0",0.0117745737203149
"143-07-7",0.014209930697757
"129298-91-5",0.000859602524852163
"88-41-5",0.00841431253983896
"126833-17-8",0.0151521536347276
"16079-88-2",0.00519408397601737
"1646-88-4",0.00288047378407407
"98-53-3",0.00529362295188156
"111-96-6",0.0219167347945891
"637-07-0",0.0520030792630503
"60-35-5",0.0036338058009001
"1942-71-8",0.069664963306835
"137-42-8",0.00799809455309186
"544-01-4",0.00153756602518012
"4130-42-1",0.00515326842443254
"124-18-5",0.00169302810607547
"112-29-8",0.0521331142520093
"525-79-1",0.980149555332004
"6893-02-3",0.0397142197498913
"79-44-7",0.0274918000468966
"110-01-0",0.00961503189688102
"15299-99-7",0.0251579637668222
"1076-97-7",0.035963863034156
"102676-31-3",0.0197020263870493
"124495-18-7",0.405673278536631
"28434-00-6",0.0241190212052565
"138472-01-2",0.000331245185199154
"107071-66-9",0.00709350262008726
"95-80-7",0.541965600790256
"5655-61-8",0.00370179335991287
"2772-45-4",0.0085384781337104
"90982-32-4",0.00296703026727414
"444610-91-7",0.0031467799314587
"199119-58-9",0.0768211235794965
"140-11-4",0.0168170217707386
"95-69-2",0.880325984328057
"550-44-7",0.00455691628628935
"1189-08-8",0.0229887150816014
"29420-49-3",0.00489864505108572
"119515-38-7",0.00651005742309708
"10540-29-1",0.024177269909884
"6317-18-6",0.00114271793150157
"141-43-5",0.00258996108454633
"104-61-0",0.0233463910272474
"111-31-9",0.00456493755657756
"335-67-1",0.00648187867945629
"117718-60-2",0.0155500578512282
"123-51-3",0.00398824332990021
"85-22-3",0.00354593808452892
"3852-09-3",0.00146068100924978
"89-87-2",0.00470663175610867
"97-89-2",0.00818591528412545
"106-27-4",0.00764917595910838
"126-11-4",0.000711823376927127
"149-57-5",0.0081007268782946
"77-86-1",0.0197723405168562
"123343-16-8",0.254743226147107
"717-74-8",0.00079562418314226
"5437-45-6",0.491989792637561
"3194-55-6",0.433092080103125
"130-15-4",0.103239177041358
