"","ID","ID-2","Zscore"
"3424-82-6","3424-82-6","3424-82-6",0.192050155647914
"55285-14-8","55285-14-8","55285-14-8",0.488601036728683
"16484-77-8","16484-77-8","16484-77-8",0.00132052016945785
"57-55-6","57-55-6","57-55-6",0.155285051538148
"487-68-3","487-68-3","487-68-3",0.16442110985897
"960-71-4","960-71-4","960-71-4",0.459034515867575
"98-01-1","98-01-1","98-01-1",0.00357817057300649
"789-02-6","789-02-6","789-02-6",0.00776340238384845
"116-25-6","116-25-6","116-25-6",0.440110844353584
"63-42-3","63-42-3","63-42-3",1.8461760073537
"596-03-2","596-03-2","596-03-2",0.683579187281288
"496-46-8","496-46-8","496-46-8",1.37196073074822
"576-26-1","576-26-1","576-26-1",0.895467703075912
"66215-27-8","66215-27-8","66215-27-8",0.639562710939617
"15708-41-5","15708-41-5","15708-41-5",1.65039097705339
"78-46-6","78-46-6","78-46-6",0.362283325660348
"85-40-5","85-40-5","85-40-5",0.575810401417519
"130-14-3","130-14-3","130-14-3",0.366146606425474
"99-54-7","99-54-7","99-54-7",0.247022546872817
"100-01-6","100-01-6","100-01-6",0.401714147407295
"2409-55-4","2409-55-4","2409-55-4",1.08684927095026
"553-70-8","553-70-8","553-70-8",0.65859077856725
"95-49-8","95-49-8","95-49-8",0.538827262451366
"94-47-3","94-47-3","94-47-3",1.09150545601698
"334-48-5","334-48-5","334-48-5",0.90584657314864
"75980-60-8","75980-60-8","75980-60-8",0.0681798998453228
"121-54-0","121-54-0","121-54-0",0.370500488126301
"636-21-5","636-21-5","636-21-5",0.607220132727781
"27955-94-8","27955-94-8","27955-94-8",0.035967478545266
"83-41-0","83-41-0","83-41-0",0.442458046655495
"59-40-5","59-40-5","59-40-5",0.214546573710641
"1469-48-3","1469-48-3","1469-48-3",0.652592098866139
"6117-91-5","6117-91-5","6117-91-5",0.260201786289281
"32809-16-8","32809-16-8","32809-16-8",0.561642309464037
"95-94-3","95-94-3","95-94-3",0.112111984372038
"88-72-2","88-72-2","88-72-2",0.33433927787133
"51218-45-2","51218-45-2","51218-45-2",1.17296214111405
"4221-68-5","4221-68-5","4221-68-5",1.23289377306729
"5405-41-4","5405-41-4","5405-41-4",0.946769702748917
"51-21-8","51-21-8","51-21-8",0.47098318396773
"137-26-8","137-26-8","137-26-8",0.73301901497474
"532-32-1","532-32-1","532-32-1",0.65859077856725
"6843-66-9","6843-66-9","6843-66-9",0.402278964892974
"123-05-7","123-05-7","123-05-7",0.886116146175605
"478263-98-8","478263-98-8","478263-98-8",0.290353763400859
"102-85-2","102-85-2","102-85-2",2.07243621332599
"81-81-2","81-81-2","81-81-2",0.471115096354769
"136-77-6","136-77-6","136-77-6",1.14923120761637
"622-45-7","622-45-7","622-45-7",1.11553503937327
"79622-59-6","79622-59-6","79622-59-6",1.45685237713908
"23779-32-0","23779-32-0","23779-32-0",0.0448929746392102
"140-08-9","140-08-9","140-08-9",2.33862097689042
"42874-03-3","42874-03-3","42874-03-3",0.282225634544007
"5850-86-2","5850-86-2","5850-86-2",0.0243731436728408
"153719-23-4","153719-23-4","153719-23-4",0.230099404544566
"81131-70-6","81131-70-6","81131-70-6",0.120803944974121
"89415-87-2","89415-87-2","89415-87-2",0.563056822680454
"221246-12-4","221246-12-4","221246-12-4",0.919449406572401
"10042-59-8","10042-59-8","10042-59-8",0.878859314528893
"101463-69-8","101463-69-8","101463-69-8",1.08724876164212
"112-55-0","112-55-0","112-55-0",0.0738001884583876
"111-70-6","111-70-6","111-70-6",0.565640507869904
"542-92-7","542-92-7","542-92-7",0.448130189007724
"99-51-4","99-51-4","99-51-4",0.369053134443666
"550-44-7","550-44-7","550-44-7",1.03361023378404
"89-72-5","89-72-5","89-72-5",1.14576883873903
"120-18-3","120-18-3","120-18-3",0.452408161680976
"6915-15-7","6915-15-7","6915-15-7",0.17117428137955
"24307-26-4","24307-26-4","24307-26-4",0.127804321383962
"55283-68-6","55283-68-6","55283-68-6",0.233163734951849
"4856-95-5","4856-95-5","4856-95-5",0.19092584442824
"1672-46-4","1672-46-4","1672-46-4",0.716627815346084
"205-99-2","205-99-2","205-99-2",1.21712451165297
"29836-26-8","29836-26-8","29836-26-8",0.37585433068951
"112-07-2","112-07-2","112-07-2",1.09089674082769
"109-04-6","109-04-6","109-04-6",0.0196453406775351
"140-66-9","140-66-9","140-66-9",0.103425772633355
"87820-88-0","87820-88-0","87820-88-0",0.714272819806756
"99-65-0","99-65-0","99-65-0",0.118616653005161
"1646-75-9","1646-75-9","1646-75-9",0.179365675346904
"460-00-4","460-00-4","460-00-4",0.526281099651336
"102-76-1","102-76-1","102-76-1",0.548814333604657
"111-76-2","111-76-2","111-76-2",0.619863539271829
"111988-49-9","111988-49-9","111988-49-9",0.0625428903927417
"763-32-6","763-32-6","763-32-6",0.323207223825827
"58846-77-8","58846-77-8","58846-77-8",0.275713436211886
"106-36-5","106-36-5","106-36-5",0.909777123969688
"591-22-0","591-22-0","591-22-0",0.563594474071492
"77-93-0","77-93-0","77-93-0",0.304473900466055
"134605-64-4","134605-64-4","134605-64-4",0.784207627236067
"69-74-9","69-74-9","69-74-9",0.115345462521945
"106-58-1","106-58-1","106-58-1",0.425544882433787
