"Predict"	"Real"
"77-47-4"	0.0178571428571429	0
"553-70-8"	0.0178571428571429	0
"3424-82-6"	0.0446428571428571	0
"105-31-7"	0.0178571428571429	0
"101-81-5"	0.0446428571428571	0
"834-12-8"	0.0479041916167665	1
"75-86-5"	0.0178571428571429	0
"109-55-7"	0.0178571428571429	0
"611-59-6"	0.0178571428571429	0
"68694-11-1"	0.0714285714285714	1
"612-82-8"	1	1
"55934-93-5"	0.0178571428571429	0
"16356-11-9"	0.0178571428571429	0
"83657-24-3"	0.0714285714285714	1
"61949-76-6"	0.0446428571428571	1
"141-93-5"	0.0446428571428571	0
"21087-64-9"	0	0
"3844-45-9"	0.0714285714285714	0
"3524-68-3"	0.0178571428571429	0
"107-41-5"	0.0178571428571429	0
"17354-14-2"	0.0714285714285714	1
"97886-45-8"	0.0714285714285714	0
"1907-65-9"	0.0479041916167665	0
"106-87-6"	0.0178571428571429	0
"189003-92-7"	0.0714285714285714	0
"50892-23-4"	0.0714285714285714	0
"94-13-3"	0.0479041916167665	1
"NOCAS_47342"	0.0446428571428571	0
"78-46-6"	0.0178571428571429	0
"30516-87-1"	0.0178571428571429	0
"1241-94-7"	0.181818181818182	0
"103-09-3"	0.0178571428571429	0
"1806-26-4"	0.1	0
"1885-14-9"	0.0178571428571429	0
"821-48-7"	0.0178571428571429	0
"16752-77-5"	0.0178571428571429	0
"298-46-4"	0.0479041916167665	0
"2943-75-1"	0.0178571428571429	0
"116-02-9"	0.0178571428571429	0
"79-07-2"	0.0178571428571429	0
"3825-26-1"	0.0178571428571429	0
"100-97-0"	0.0178571428571429	0
"16484-77-8"	0.1	0
"88-69-7"	0.0479041916167665	0
"1061517-62-1"	1	1
"2702-72-9"	0.0446428571428571	0
"624-18-0"	1	0
"13826-35-2"	0.888888888888889	0
"1646-75-9"	0.0178571428571429	0
"692-86-4"	0.0178571428571429	0
"143-50-0"	0.0178571428571429	0
"122-14-5"	0.923076923076923	1
"122-19-0"	0.0178571428571429	0
"6422-86-2"	0.0446428571428571	0
"69377-81-7"	0.0479041916167665	0
"1119-97-7"	0.0178571428571429	0
"26530-20-1"	0.0178571428571429	0
"112-72-1"	0.0178571428571429	0
"58430-94-7"	0.0178571428571429	0
"103-11-7"	0.0178571428571429	0
"111-15-9"	0.0178571428571429	0
"91-53-2"	0.1	1
"556-61-6"	0.0178571428571429	0
"712-50-5"	0.0178571428571429	0
"13071-79-9"	0.0833333333333333	0
"135410-20-7"	0.0714285714285714	0
"2058-46-0"	0.1	0
"100-01-6"	1	0
"NOCAS_47334"	0.909090909090909	0
"196808-45-4"	0	0
"460081-99-6"	0.0479041916167665	1
"2432-87-3"	0.0178571428571429	0
"106-36-5"	0.0178571428571429	0
"67564-91-4"	0.0446428571428571	0
"95-69-2"	0.875	1
"14938-35-3"	0.1	0
"13674-87-8"	0.0178571428571429	0
"88-30-2"	1	0
"67-71-0"	0.0178571428571429	0
"119-90-4"	1	1
"35554-44-0"	0.0714285714285714	1
"79-44-7"	0.0178571428571429	0
"81334-34-1"	0.0714285714285714	0
"6379-73-3"	0.0446428571428571	0
"6055-19-2"	0.0178571428571429	0
"91-10-1"	0.0479041916167665	0
"289716-94-5"	0.1	0
"145-73-3"	0.0178571428571429	0
"7779-27-3"	0.0178571428571429	0
"101-86-0"	0.0178571428571429	0
"108-59-8"	0.0178571428571429	0
"623-33-6"	0.0178571428571429	0
"4437-85-8"	0.0178571428571429	0
"1189-08-8"	0.0178571428571429	0
"2016-57-1"	0.0178571428571429	0
"129298-91-5"	0.0178571428571429	0
"98-01-1"	0.0178571428571429	0
"57-13-6"	0.0178571428571429	0
"33693-04-8"	0.0479041916167665	0
"98105-99-8"	0.0714285714285714	0
"111-43-3"	0.0178571428571429	0
"105-54-4"	0.0178571428571429	0
"463-40-1"	0.0178571428571429	0
"16079-88-2"	0.0178571428571429	0
"80-05-7"	0	0
"88-18-6"	0.0479041916167665	0
"5437-45-6"	0.0178571428571429	0
"39236-46-9"	0.0178571428571429	0
"16587-71-6"	0.0178571428571429	0
"112-55-0"	0.0178571428571429	0
"5977-14-0"	0.0178571428571429	0
"485-31-4"	0.0446428571428571	0
"999-97-3"	0.0178571428571429	0
"1672-46-4"	0.0178571428571429	0
"2425-77-6"	0.0178571428571429	0
"334-48-5"	0.0178571428571429	0
"4151-50-2"	0.0178571428571429	0
"2433-14-9"	0.0178571428571429	0
"22248-79-9"	0.181818181818182	0
"120-71-8"	0.0479041916167665	1
"591-22-0"	0.235294117647059	0
"123-92-2"	0.0178571428571429	0
"687-47-8"	0.0178571428571429	0
"1939-36-2"	0.0178571428571429	0
"474-86-2"	0.1	0
"104795-68-8"	0	0
"596-03-2"	0.1	0
"6152-33-6"	0.0446428571428571	1
"NOCAS_48518"	0.0714285714285714	0
"627-93-0"	0.0178571428571429	0
"444610-91-7"	1	0
"56507-37-0"	0.0178571428571429	0
"626-64-2"	0.0178571428571429	0
"10094-34-5"	0.0178571428571429	0
"111-49-9"	0.0178571428571429	0
"313994-79-5"	0.0479041916167665	0
"120068-37-3"	1	0
"470-90-6"	0.181818181818182	0
"59756-60-4"	0.0446428571428571	0
"90-43-7"	0.0479041916167665	0
"112-80-1"	0.0178571428571429	0
"112-49-2"	0.0178571428571429	0
"99-08-1"	0.0446428571428571	0
"610-39-9"	0.0446428571428571	1
"91-59-8"	0.0178571428571429	1
"77-06-5"	1	0
"94-28-0"	0.0178571428571429	0
"15972-60-8"	0.0446428571428571	0
"89-83-8"	0.0479041916167665	0
"78-51-3"	0.0178571428571429	0
"7696-12-0"	0.0178571428571429	0
"1008-72-6"	0.0479041916167665	0
"123-99-9"	0.0178571428571429	0
"120-56-9"	0.0446428571428571	0
"53-03-2"	0.0178571428571429	0
"107-70-0"	0.0178571428571429	0
"NOCAS_47330"	0.0714285714285714	1
"139-13-9"	0.0178571428571429	0
"550-44-7"	0.0446428571428571	0
"13676-54-5"	0.0446428571428571	0
"NOCAS_48166"	0.1	0
"154-42-7"	0.0178571428571429	0
"140-53-4"	0.0446428571428571	0
"513-86-0"	0.0178571428571429	0
"68959-20-6"	1	0
"4638-48-6"	0.0479041916167665	0
"88-10-8"	0.0178571428571429	0
"7540-51-4"	0.0178571428571429	0
"91-66-7"	0.0178571428571429	0
"29420-49-3"	0.0178571428571429	0
"126-72-7"	0	0
"51-03-6"	0.0434782608695652	0
"85-01-8"	0.0193905817174515	0
"647-42-7"	0.0193905817174515	0
"87-61-6"	0.0504587155963303	0
"96-54-8"	0.0193905817174515	0
"83-32-9"	0.0504587155963303	0
"4468-42-2"	0.0193905817174515	0
"124-03-8"	0.0193905817174515	0
"626-60-8"	0.0193905817174515	0
"2499-95-8"	0.0193905817174515	0
"112-05-0"	0.0193905817174515	0
"62924-70-3"	0.0504587155963303	1
"654055-01-3"	0.0666666666666667	0
"4065-45-6"	0.0694444444444444	0
"122-01-0"	0.0504587155963303	0
"533-23-3"	0.118110236220472	0
"682-01-9"	0.0193905817174515	0
"58-08-2"	0.0193905817174515	0
"147-81-9"	0.0193905817174515	0
"74051-80-2"	0.0193905817174515	0
"611-14-3"	0.0504587155963303	0
"2386-87-0"	0.0193905817174515	0
"473-55-2"	0.0193905817174515	0
"175178-82-2"	0.2	0
"29091-21-2"	0	0
"97-78-9"	0.0193905817174515	0
"73-31-4"	0.118110236220472	1
"480-40-0"	0.9375	1
"107-54-0"	0.0193905817174515	0
"110-91-8"	0.0193905817174515	0
"1638-22-8"	0.118110236220472	0
"62-75-9"	0.0193905817174515	0
"79-30-1"	0.0193905817174515	0
"NOCAS_47299"	1	1
"93-15-2"	0.0504587155963303	0
"97-00-7"	0.0504587155963303	0
"15708-41-5"	0.0193905817174515	0
"101-42-8"	0.0193905817174515	0
"148-24-3"	0.0193905817174515	0
"95-95-4"	0	0
"17924-92-4"	0.0666666666666667	1
"6175-45-7"	0.0193905817174515	0
"3913-02-8"	0.0193905817174515	0
"33629-47-9"	0	1
"87820-88-0"	0.9375	0
"124-09-4"	0.0193905817174515	0
"77-92-9"	0.0193905817174515	0
"532-32-1"	0.0193905817174515	0
"122-20-3"	0.0193905817174515	0
"104-90-5"	0.118110236220472	0
"81131-70-6"	0.0193905817174515	0
"112-53-8"	0.0193905817174515	0
"57-74-9"	0.0193905817174515	0
"108-80-5"	0.0434782608695652	0
"108-67-8"	0.0504587155963303	0
"112-42-5"	0.0193905817174515	0
"13254-34-7"	0.0193905817174515	0
"929-59-9"	0.0193905817174515	0
"108-31-6"	0.0193905817174515	0
"86479-06-3"	0.0694444444444444	0
"111-77-3"	0.0193905817174515	0
"21564-17-0"	0.0193905817174515	0
"57-30-7"	0.0193905817174515	0
"131-18-0"	0.0504587155963303	0
"615-20-3"	0.0193905817174515	0
"50471-44-8"	0.0504587155963303	0
"112529-15-4"	0.0694444444444444	0
"27253-33-4"	0.0193905817174515	0
"77-83-8"	0.0193905817174515	0
"69-09-0"	0.0504587155963303	0
"NOCAS_47383"	0.0694444444444444	0
"96-23-1"	0.0193905817174515	0
"544-63-8"	0.0193905817174515	0
"112-35-6"	0.0193905817174515	0
"2550-40-5"	0.0193905817174515	0
"128-95-0"	0.9375	1
"123-02-4"	0.0193905817174515	0
"136-77-6"	0.118110236220472	0
"147150-35-4"	0.0694444444444444	0
"69806-50-4"	0.8	0
"5949-05-3"	0.0193905817174515	0
"1987-50-4"	0.118110236220472	0
"314-40-9"	0	0
"144-74-1"	0.2	0
"2687-96-9"	0.0193905817174515	0
"103361-09-7"	0	1
"22915-73-7"	0.0504587155963303	0
"716-79-0"	0.25	0
"107-88-0"	0.0193905817174515	0
"243973-20-8"	0.0504587155963303	0
"4940-11-8"	0.118110236220472	0
"106-43-4"	0.0504587155963303	0
"36653-82-4"	0.0193905817174515	0
"763-29-1"	0.0193905817174515	0
"6485-40-1"	0.0193905817174515	0
