"Predict"	"Real"
"77-47-4"	0.00144539459092508	0
"553-70-8"	0.00399192649820478	0
"3424-82-6"	0.00264682988500109	0
"105-31-7"	0.00728946230036155	0
"101-81-5"	0.00530448371656638	0
"834-12-8"	0.0545198104857937	1
"75-86-5"	0.00121231059098729	0
"109-55-7"	0.00328464053808053	0
"611-59-6"	0.0117969903635965	0
"68694-11-1"	0.507117008758959	1
"612-82-8"	0.954670955570542	1
"55934-93-5"	0.00074537515791808	0
"16356-11-9"	0.00504020070618891	0
"83657-24-3"	0.00250940097502328	1
"61949-76-6"	0.0129001270815603	1
"141-93-5"	0.00534082384124527	0
"21087-64-9"	2.77798842623632e-05	0
"3844-45-9"	2.48010205776852e-05	0
"3524-68-3"	0.108017190222744	0
"107-41-5"	0.00144188819760296	0
"17354-14-2"	0.370712836033804	1
"97886-45-8"	0.000455123096990976	0
"1907-65-9"	0.00118552800166274	0
"106-87-6"	0.00749099669471486	0
"189003-92-7"	0.54935786871555	0
"50892-23-4"	0.0453302015444652	0
"94-13-3"	0.112337097534496	1
"NOCAS_47342"	0.11578887345244	0
"78-46-6"	0.0066604809142852	0
"30516-87-1"	9.66545032746231e-06	0
"1241-94-7"	0.063053565172342	0
"103-09-3"	0.00243080198536852	0
"1806-26-4"	0.0358001119949932	0
"1885-14-9"	0.00245536518563894	0
"821-48-7"	0.0053815717904847	0
"16752-77-5"	0.00802993819170921	0
"298-46-4"	0.0034185148248114	0
"2943-75-1"	0.00462240494208379	0
"116-02-9"	0.0020094513822779	0
"79-07-2"	0.0358961098113517	0
"3825-26-1"	0.00270239386981357	0
"100-97-0"	3.90610097631518e-07	0
"16484-77-8"	0.00274502767206038	0
"88-69-7"	0.00771593746743269	0
"1061517-62-1"	0.14264237410217	1
"2702-72-9"	0.000769990294499047	0
"624-18-0"	0.998504831440855	0
"13826-35-2"	0.0258793912531822	0
"1646-75-9"	0.000199648477907921	0
"692-86-4"	0.00995099357056786	0
"143-50-0"	0.0954555716162505	0
"122-14-5"	0.987073841655077	1
"122-19-0"	0.00112031532738597	0
"6422-86-2"	0.00364814185197485	0
"69377-81-7"	0.00805111360926858	0
"1119-97-7"	0.00102674417239492	0
"26530-20-1"	0.0276484659464916	0
"112-72-1"	0.00642932636210424	0
"58430-94-7"	0.00166335002951612	0
"103-11-7"	0.00478295583531238	0
"111-15-9"	0.00639384626029511	0
"91-53-2"	0.0478311656656746	1
"556-61-6"	0.00373299773520809	0
"712-50-5"	0.0026373943830185	0
"13071-79-9"	0.518969620075303	0
"135410-20-7"	0.0225559004284242	0
"2058-46-0"	0.00733262716416611	0
"100-01-6"	0.54959895539969	0
"NOCAS_47334"	0.88065979224204	0
"196808-45-4"	0.020953736920568	0
"460081-99-6"	0.0203305411943844	1
"2432-87-3"	0.00402832017688701	0
"106-36-5"	0.00405321281213984	0
"67564-91-4"	0.00453665323896412	0
"95-69-2"	0.999714159201206	1
"14938-35-3"	0.0478326312344796	0
"13674-87-8"	0.000272890970614349	0
"88-30-2"	0.325093110545414	0
"67-71-0"	6.56661015859145e-05	0
"119-90-4"	0.819210474229407	1
"35554-44-0"	0.369426371264051	1
"79-44-7"	0.00112543644010744	0
"81334-34-1"	0.00753355535922974	0
"6379-73-3"	0.00864769865814314	0
"6055-19-2"	0.00557025764200299	0
"91-10-1"	0.0341442776527517	0
"289716-94-5"	0.101996938705627	0
"145-73-3"	0.00331464134837225	0
"7779-27-3"	0.000676390312204277	0
"101-86-0"	0.00894807795090789	0
"108-59-8"	0.0013104740368463	0
"623-33-6"	0.00229535379552281	0
"4437-85-8"	0.00758860602332082	0
"1189-08-8"	0.083962478949569	0
"2016-57-1"	0.00674969158489217	0
"129298-91-5"	0.0395942338982685	0
"98-01-1"	0.00229699566802903	0
"57-13-6"	0.0492450714458583	0
"33693-04-8"	0.022795294510266	0
"98105-99-8"	0.0194171296076559	0
"111-43-3"	0.0048868506710342	0
"105-54-4"	0.00190383125310478	0
"463-40-1"	0.0198483911885064	0
"16079-88-2"	0.00272723487185714	0
"80-05-7"	0.2230201626268	0
"88-18-6"	0.00702243532199278	0
"5437-45-6"	0.131925736544883	0
"39236-46-9"	0.00088197198358371	0
"16587-71-6"	0.0173012080732022	0
"112-55-0"	0.000699300529053431	0
"5977-14-0"	0.0126396902936949	0
"485-31-4"	0.0166136302591149	0
"999-97-3"	0.00400023853575511	0
"1672-46-4"	0.140982181357646	0
"2425-77-6"	0.00447570551509184	0
"334-48-5"	0.00569425847054858	0
"4151-50-2"	0.00120006692196135	0
"2433-14-9"	0.00430187916924401	0
"22248-79-9"	0.00236615938485121	0
"120-71-8"	0.125234183913272	1
"591-22-0"	0.00296581752850059	0
"123-92-2"	0.00284765887175071	0
"687-47-8"	0.00432940467022645	0
"1939-36-2"	1.2424264004504e-05	0
"474-86-2"	0.296519203498547	0
"104795-68-8"	0.00539273590634744	0
"596-03-2"	0.748638599167113	0
"6152-33-6"	0.0129894214217181	1
"NOCAS_48518"	0.421244287349001	0
"627-93-0"	0.00141555877906769	0
"444610-91-7"	0.0309647193620331	0
"56507-37-0"	0.000493650206804043	0
"626-64-2"	0.0304264275828567	0
"10094-34-5"	0.00846513602433311	0
"111-49-9"	0.00844486011570179	0
"313994-79-5"	0.00462677335090087	0
"120068-37-3"	0.00416693226535366	0
"470-90-6"	0.0273703138398737	0
"59756-60-4"	0.0125217393752787	0
"90-43-7"	0.0322423127302329	0
"112-80-1"	0.00498996557061733	0
"112-49-2"	0.00347411930482712	0
"99-08-1"	0.0227350462499981	0
"610-39-9"	0.0092117450752374	1
"91-59-8"	0.270856049535831	1
"77-06-5"	0.505009011485733	0
"94-28-0"	0.00181504532388698	0
"15972-60-8"	0.0389863864735048	0
"89-83-8"	0.00818233554877858	0
"78-51-3"	0.00908221296379665	0
"7696-12-0"	0.184551950946695	0
"1008-72-6"	0.00414608107837615	0
"123-99-9"	0.00263217521752868	0
"120-56-9"	0.00291596035014167	0
"53-03-2"	0.352036482244087	0
"107-70-0"	0.00083794026960717	0
"NOCAS_47330"	0.0245447650670686	1
"139-13-9"	0.000124910930754985	0
"550-44-7"	0.00760651389031434	0
"13676-54-5"	0.737093987291062	0
"NOCAS_48166"	0.0178322195521789	0
"154-42-7"	0.820678881699135	0
"140-53-4"	0.00136593517627341	0
"513-86-0"	0.00197989597809192	0
"68959-20-6"	0.010201913647811	0
"4638-48-6"	0.391344450628982	0
"88-10-8"	0.000774239194908651	0
"7540-51-4"	0.0114934204512271	0
"91-66-7"	0.023219669070217	0
"29420-49-3"	0.00798352897725441	0
"126-72-7"	0.000541267178848212	0
"51-03-6"	0.0228481549414045	0
"85-01-8"	0.00521993983952818	0
"647-42-7"	0.0296791653544904	0
"87-61-6"	0.0036332777604451	0
"96-54-8"	0.00706597194083282	0
"83-32-9"	0.0101716271010163	0
"4468-42-2"	0.00188510862116773	0
"124-03-8"	0.00208366786477235	0
"626-60-8"	0.00612908759121881	0
"2499-95-8"	0.00570921749821987	0
"112-05-0"	0.00847497598376755	0
"62924-70-3"	0.0016677926392481	1
"654055-01-3"	0.900031793252938	0
"4065-45-6"	0.0220216777503803	0
"122-01-0"	0.0036270275075413	0
"533-23-3"	0.0436309591048023	0
"682-01-9"	0.00048587166018976	0
"58-08-2"	0.0189973239722297	0
"147-81-9"	0.00170684073246174	0
"74051-80-2"	0.0123120288082133	0
"611-14-3"	0.00300875428077199	0
"2386-87-0"	0.00316375668307256	0
"473-55-2"	0.0179212502172946	0
"175178-82-2"	0.892831833242479	0
"29091-21-2"	0.0543469471704317	0
"97-78-9"	0.00967790754081829	0
"73-31-4"	0.328045257099716	1
"480-40-0"	0.0782567237623337	1
"107-54-0"	0.000542737429873951	0
"110-91-8"	0.000398863349112684	0
"1638-22-8"	0.0922888385743078	0
"62-75-9"	0.000263255295431721	0
"79-30-1"	0.000195537369083977	0
"NOCAS_47299"	0.0695769117484838	1
"93-15-2"	0.0469172934297601	0
"97-00-7"	0.00658867800635126	0
"15708-41-5"	9.38991410019353e-05	0
"101-42-8"	0.012520762092124	0
"148-24-3"	0.0535620751862056	0
"95-95-4"	0.810771547267941	0
"17924-92-4"	0.129537298550587	1
"6175-45-7"	0.000601620049533785	0
"3913-02-8"	0.00731254134897536	0
