"","x"
"3424-82-6",0.00214943027535055
"55285-14-8",0.0252981749041948
"16484-77-8",0.00319292932133496
"57-55-6",0.0209614639830817
"487-68-3",0.00615132847297284
"960-71-4",0.00550859472822294
"98-01-1",0.00534011946347286
"789-02-6",0.00212315816357599
"116-25-6",0.0909057384444947
"63-42-3",5.53866932691466e-05
"596-03-2",0.239278709864835
"496-46-8",0.000391545353501776
"576-26-1",0.0100998870830482
"66215-27-8",0.636888451116814
"15708-41-5",0.000737491250952766
"78-46-6",0.00362328698162834
"85-40-5",0.00328564381083777
"130-14-3",0.00439528018797696
"99-54-7",0.0345826085580251
"100-01-6",0.483812294584499
"2409-55-4",0.0054987373341801
"553-70-8",0.00623233953878753
"95-49-8",0.00195636605364163
"94-47-3",0.0134627564639001
"334-48-5",0.00389169759508546
"75980-60-8",0.0402898683065853
"121-54-0",0.0162992991599686
"636-21-5",0.050234757980364
"27955-94-8",0.645054242925023
"83-41-0",0.0195060464457752
"59-40-5",0.863165209576886
"1469-48-3",0.0039152653826158
"6117-91-5",0.00306299336823414
"32809-16-8",0.049668375245734
"95-94-3",0.00462194037908212
"88-72-2",0.015791538567594
"51218-45-2",0.0172338042831115
"4221-68-5",0.0458183949661196
"5405-41-4",0.00291428048017533
"51-21-8",0.0158369661699505
"137-26-8",0.0117283293856935
"532-32-1",0.00623233953878753
"6843-66-9",0.000720756281081755
"123-05-7",0.00155964868833327
"478263-98-8",0.480255701243735
"102-85-2",0.00485962178410164
"81-81-2",0.0480511521331508
"136-77-6",0.12133021483639
"622-45-7",0.00568725617964304
"79622-59-6",0.000657330700002954
"23779-32-0",0.0129213611680691
"140-08-9",0.00545394614762364
"42874-03-3",0.308913062368542
"5850-86-2",0.107751501621295
"153719-23-4",3.33440024050093e-05
"81131-70-6",0.00112530156667378
"89415-87-2",0.000675810027451896
"221246-12-4",0.0175909115764763
"10042-59-8",0.0114789236247932
"101463-69-8",0.0185142053411878
"112-55-0",0.000565552963012124
"111-70-6",0.0217219785261879
"542-92-7",0.00157890375633024
"99-51-4",0.0180126476694063
"550-44-7",0.00390728269704704
"89-72-5",0.00898901664371518
"120-18-3",0.011947538458294
"6915-15-7",0.00191254490987911
"24307-26-4",0.000694510957115765
"55283-68-6",0.0249175204425614
"4856-95-5",0.000833374009204662
"1672-46-4",0.0247319030443574
"205-99-2",0.126781739521872
"29836-26-8",0.00137150547706325
"112-07-2",0.00379686814187222
"109-04-6",0.00100056921094619
"140-66-9",0.00268344510316354
"87820-88-0",0.010329029635919
"99-65-0",0.0107633419613247
"1646-75-9",0.00025288010787203
"460-00-4",0.748227207570974
"102-76-1",0.00396325036571687
"111-76-2",0.00915363652740636
"111988-49-9",0.00294667491324565
"763-32-6",0.00806927149609108
"58846-77-8",0.00109075837395362
"106-36-5",0.0040205381067746
"591-22-0",0.00529160055891869
"77-93-0",0.00285172166685599
"134605-64-4",0.0258221709246371
"69-74-9",0.0206385511451088
"106-58-1",0.00225036517761362
"55-18-5",0.000452246716505321
"97-89-2",0.00608990572088634
"99-62-7",0.00174632921711572
"1114-71-2",0.00374454844558526
"100-54-9",0.00259914476579819
"687-47-8",0.0018541067095527
"57-11-4",0.0050800996919327
"131341-86-1",0.353138375977945
"177785-47-6",0.0170878360435382
"102-82-9",0.00329701062103301
"1076-97-7",0.00162964398625528
"101-42-8",0.00843593338145845
"59-05-2",0.141431074944774
"84-61-7",0.0118341171576511
"959-98-8",0.00386850125665161
"7786-34-7",0.0307598520832311
"121-14-2",0.0211811727124996
"874-90-8",0.0215515014618529
"NOCAS_47383",0.00582379493992453
"151506-44-4",0.652129005298903
"74115-24-5",0.0154924239273042
"53112-28-0",0.095024478010648
"2702-72-9",0.00127076861603331
"5103-74-2",0.00218346755101092
"124-04-9",0.00203647251995681
"22248-79-9",0.00125726396215398
"124378-77-4",0.0371961428386127
"81-30-1",0.00187053533122673
"81335-77-5",0.00382058337197453
"120-46-7",0.00829285462145109
"67-71-0",9.4459236163771e-05
"103-23-1",0.0043960798610042
"104-82-5",0.00142925601103448
"121-79-9",0.718638260500171
"5333-42-6",0.00540627582110883
"43121-43-3",0.140862991184769
"98-02-2",0.00424246454634527
"2795-39-3",0.00220550824613795
"68392-35-8",0.0137171147254163
"68-22-4",0.116994549777628
"110-43-0",0.00137805622079786
"50-21-5",0.00409066755299273
"5103-71-9",0.00218346755101092
"78-07-9",0.00130163861019202
"78-69-3",0.000465207511128232
"57-06-7",0.0148243241071206
"13311-84-7",0.00607925673322402
"25168-05-2",0.000460216738134261
"6422-86-2",0.004334667824016
"298-46-4",0.0158769297152109
"118134-30-8",0.0184606433679722
"126-30-7",0.00685819647731509
"402910-27-4",0.00903082889747897
"112-31-2",0.00195383038924225
"2426-54-2",0.00405272641451489
"58430-94-7",0.00267525944821263
"6359-98-4",0.00397467393437341
"115-29-7",0.00266854521167012
"139-13-9",0.00047900697504125
"6055-19-2",0.00370905001870186
"4151-50-2",0.00809107568413032
"55589-62-3",0.016007945444328
"123-15-9",0.00438959331764054
"587-65-5",0.0317926037444407
"142-16-5",0.00849055108857629
"732-26-3",0.00839919074303107
"7696-12-0",0.100823263686686
"78-97-7",0.00674357333668146
"NOCAS_48505",0.393015940565716
"7659-86-1",0.00458675951050951
"121-39-1",0.00693129747981803
"534-52-1",0.557593028621812
"95-32-9",0.00584342959317328
"4422-95-1",0.001108927990454
"112-25-4",0.00570893054945898
"6358-09-4",0.84833134115947
"102-06-7",0.00426882956346228
"79-09-4",0.0030968491865642
"3452-97-9",0.000981286374516627
"1119-97-7",0.00143781540401203
"147-24-0",0.00174254184637798
"50-28-2",0.0401882688484116
"609-66-5",0.0120619283607767
"76703-62-3",0.0280975601916573
"122-20-3",0.00812167112255854
"103-90-2",0.0660619301677057
"51-03-6",0.0388709969953778
"513-86-0",0.00194326857000091
"99-87-6",0.000533398839093872
"83-56-7",0.316006385946483
"15307-79-6",0.00386809851895389
"75-86-5",0.000832552874769826
"4418-26-2",0.0174615398514271
"335-67-1",0.00366467053269416
"1119-40-0",0.00362621094722153
"361343-19-3",0.163978830701247
"94-28-0",0.00134839509146752
"118-75-2",0.00305357055498216
"75-50-3",0.00194402586025359
"754-91-6",0.00149732346315572
"NOCAS_47334",0.236347579293077
"68157-60-8",0.016715967933054
"109-77-3",0.00250005383138654
"75-64-9",0.0320006347684902
"95-95-4",0.626123810137898
"1885-38-7",0.00828120217269696
"89-83-8",0.00494127135823866
"40487-42-1",0.269428276794018
"103-28-6",0.00396917453023502
"821-48-7",0.00299333631616499
"95266-40-3",0.0097951927240203
"139-88-8",0.000679309298589357
"60-57-1",0.0123400958740793
"138-86-3",0.00287473481818195
"142-18-7",0.00221137463170203
"271-89-6",0.00450897965323011
"111-55-7",0.00220695828718436
"82385-42-0",0.0101473901349367
"58-85-5",0.000917971477919965
"633-96-5",0.111254189643531
"1698-60-8",0.0924321013922155
"104-76-7",0.00266086957442624
"97-00-7",0.00854505727828277
"67786-14-5",0.831236968472991
"873-32-5",0.0311223142436694
"128-39-2",0.00570697482210583
"78-42-2",0.00297329718902502
"1563-66-2",0.072934282709189
