"","Predict","Real"
"77-47-4",0.0280576295591949,0
"553-70-8",0.0280642671238118,0
"3424-82-6",0.0932824196672177,0
"105-31-7",0.0280863917380073,0
"101-81-5",0.028048085267449,0
"834-12-8",0.125542235088734,1
"75-86-5",0.0372157894909539,0
"109-55-7",0.0281758817650625,0
"611-59-6",0.0281082255337124,0
"68694-11-1",0.0285211032464927,1
"612-82-8",0.306816183775535,1
"55934-93-5",0.0280479566131334,0
"16356-11-9",0.0280480803376081,0
"83657-24-3",0.169058065192419,1
"61949-76-6",0.306816047945366,1
"141-93-5",0.0281144180587686,0
"21087-64-9",0.0281341834583337,0
"3844-45-9",0.0280479566131334,0
"3524-68-3",0.0280479566131334,0
"107-41-5",0.0280968360062804,0
"17354-14-2",0.306145017968239,1
"97886-45-8",0.0281833722406279,0
"1907-65-9",0.0280484014255455,0
"106-87-6",0.0280481541116672,0
"189003-92-7",0.306816311261136,0
"50892-23-4",0.305629569913468,0
"94-13-3",0.251494145443609,1
"NOCAS_47342",0.304992309048912,0
"78-46-6",0.0280479566131334,0
"30516-87-1",0.0280485164781036,0
"1241-94-7",0.265205196195309,0
"103-09-3",0.028049254531365,0
"1806-26-4",0.137061442008973,0
"1885-14-9",0.0874429584993854,0
"821-48-7",0.0281608701621445,0
"16752-77-5",0.0297521804318329,0
"298-46-4",0.046685125373238,0
"2943-75-1",0.0280498833535744,0
"116-02-9",0.0280508606391776,0
"79-07-2",0.0286867107630688,0
"3825-26-1",0.0280479566131334,0
"100-97-0",0.0280479566131334,0
"16484-77-8",0.287124572180355,0
"88-69-7",0.0307428185925637,0
"1061517-62-1",0.0280479566131334,1
"2702-72-9",0.174818621398455,0
"624-18-0",0.306779960215766,0
"13826-35-2",0.161674739107207,0
"1646-75-9",0.0281611592748457,0
"692-86-4",0.0280548266585972,0
"143-50-0",0.0721329404614902,0
"122-14-5",0.306767650624744,1
"122-19-0",0.0280508390258948,0
"6422-86-2",0.047320107970676,0
"69377-81-7",0.0289109411738249,0
"1119-97-7",0.0280479566131334,0
"26530-20-1",0.0280617335128399,0
"112-72-1",0.0280480859760913,0
"58430-94-7",0.0280505508730506,0
"103-11-7",0.0280481177912337,0
"111-15-9",0.0281428261544913,0
"91-53-2",0.305920325444286,1
"556-61-6",0.0294188500018983,0
"712-50-5",0.0280480925324725,0
"13071-79-9",0.0281968588854791,0
"135410-20-7",0.0865965963299622,0
"2058-46-0",0.306816311261136,0
"100-01-6",0.298487522924585,0
"NOCAS_47334",0.0446705365733184,0
"196808-45-4",0.0280479566131334,0
"460081-99-6",0.306816311261136,1
"2432-87-3",0.130751854691081,0
"106-36-5",0.0280655716265942,0
"67564-91-4",0.0280490324053443,0
"95-69-2",0.305037535518669,1
"14938-35-3",0.249395244930979,0
"13674-87-8",0.0280479566131334,0
"88-30-2",0.0280506818853341,0
"67-71-0",0.306816311261136,0
"119-90-4",0.306816311261136,1
"35554-44-0",0.0291482451634631,1
"79-44-7",0.0286471726486,0
"81334-34-1",0.0289003851811893,0
"6379-73-3",0.0301488428016439,0
"6055-19-2",0.0280500134371631,0
"91-10-1",0.289113385030562,0
"289716-94-5",0.306816109312142,0
"145-73-3",0.0280479566131334,0
"7779-27-3",0.0280479566131334,0
"101-86-0",0.0280507595991872,0
"108-59-8",0.0280483560838073,0
"623-33-6",0.0280955002472701,0
"4437-85-8",0.0280634478869349,0
"1189-08-8",0.028159352143512,0
"2016-57-1",0.0280558199815577,0
"129298-91-5",0.199632662282813,0
"98-01-1",0.029156074886056,0
"57-13-6",0.029450238389668,0
"33693-04-8",0.275065389382975,0
"98105-99-8",0.306816311261136,0
"111-43-3",0.0280495010474499,0
"105-54-4",0.0281053016051833,0
"463-40-1",0.0280482244216138,0
"16079-88-2",0.0280525361555562,0
"80-05-7",0.295660804437933,0
"88-18-6",0.0288449191603516,0
"5437-45-6",0.0280539563780158,0
"39236-46-9",0.0281312509432652,0
"16587-71-6",0.0280496339834402,0
"112-55-0",0.0280487364900637,0
"5977-14-0",0.0285905623888496,0
"485-31-4",0.306668259787814,0
"999-97-3",0.0280479566131334,0
"1672-46-4",0.306812346847837,0
"2425-77-6",0.0280489999689237,0
"334-48-5",0.0280484610027591,0
"4151-50-2",0.0280479566131334,0
"2433-14-9",0.0280520031476689,0
"22248-79-9",0.0301504439940634,0
"120-71-8",0.28455859808594,1
"591-22-0",0.0302028115037128,0
"123-92-2",0.028059066196728,0
"687-47-8",0.0281019279247141,0
"1939-36-2",0.0280479566131334,0
"474-86-2",0.306745004751241,0
"104795-68-8",0.306816311261136,0
"596-03-2",0.306816311261136,0
"6152-33-6",0.0285369579532738,1
"NOCAS_48518",0.109122834846151,0
"627-93-0",0.0281089578016122,0
"444610-91-7",0.0280479566131334,0
"56507-37-0",0.0280499694969719,0
"626-64-2",0.239359896419043,0
"10094-34-5",0.0280560695391489,0
"111-49-9",0.0536103858710717,0
"313994-79-5",0.0280479566131334,0
"120068-37-3",0.028203571965929,0
"470-90-6",0.166454122976862,0
"59756-60-4",0.0413066678556966,0
"90-43-7",0.028963818823335,0
"112-80-1",0.0281469213638697,0
"112-49-2",0.0280479566131334,0
"99-08-1",0.0285668599336996,0
"610-39-9",0.0284932771733386,1
"91-59-8",0.199865843090959,1
"77-06-5",0.285825230782063,0
"94-28-0",0.0280622220691243,0
"15972-60-8",0.050482683564314,0
"89-83-8",0.0652510793198143,0
"78-51-3",0.0280479566131334,0
"7696-12-0",0.274575337919284,0
"1008-72-6",0.0280479566131334,0
"123-99-9",0.028055002749016,0
"120-56-9",0.112684635126898,0
"53-03-2",0.304531869407097,0
"107-70-0",0.0283668182388546,0
"NOCAS_47330",0.306816311261136,1
"139-13-9",0.0280479566131334,0
"550-44-7",0.0280572984765008,0
"13676-54-5",0.306816311261136,0
"NOCAS_48166",0.306816311261136,0
"154-42-7",0.181391127785582,0
"140-53-4",0.058263464604576,0
"513-86-0",0.0291233893140583,0
"68959-20-6",0.276428016054347,0
"4638-48-6",0.306519875830352,0
"88-10-8",0.0398156693033311,0
"7540-51-4",0.0290780694248166,0
"91-66-7",0.0283011744686347,0
"29420-49-3",0.0280479566131334,0
"126-72-7",0.162920113380841,0
"51-03-6",0.162920113380841,0
"85-01-8",0.162920113380841,0
"647-42-7",0.162920113380841,0
"87-61-6",0.0631224034992502,0
"96-54-8",0.0631226624612669,0
"83-32-9",0.162919618842496,0
"4468-42-2",0.0631224034992502,0
"124-03-8",0.162920113380841,0
"626-60-8",0.0631224034992502,0
"2499-95-8",0.0631224034992502,0
"112-05-0",0.0631224034992502,0
"62924-70-3",0.162920113380841,1
"654055-01-3",0.162920113380841,0
"4065-45-6",0.162920113380841,0
"122-01-0",0.0631224034992502,0
"533-23-3",0.162920113380841,0
"682-01-9",0.162920113380841,0
"58-08-2",0.0631224034992502,0
"147-81-9",0.0631224034992502,0
"74051-80-2",0.162920113380841,0
"611-14-3",0.0631224034992502,0
"2386-87-0",0.162920113380841,0
"473-55-2",0.0631224034992502,0
"175178-82-2",0.162920113380841,0
"29091-21-2",0.162920113380841,0
"97-78-9",0.162920113380841,0
"73-31-4",0.162920113380841,1
"480-40-0",0.162920113380841,1
"107-54-0",0.0631224034992502,0
"110-91-8",0.0631224034992502,0
"1638-22-8",0.0631224034992502,0
"62-75-9",0.0631224034992502,0
"79-30-1",0.0631224034992502,0
"NOCAS_47299",0.162920113380841,1
"93-15-2",0.0631224034992502,0
"97-00-7",0.0631224034992502,0
"15708-41-5",0.162920113380841,0
"101-42-8",0.0631224034992502,0
"148-24-3",0.0631224034992502,0
"95-95-4",0.0631224034992502,0
"17924-92-4",0.162920113380841,1
"6175-45-7",0.162920113380841,0
"3913-02-8",0.0631224034992502,0
"33629-47-9",0.162920113380841,1
"87820-88-0",0.162920113380841,0
"124-09-4",0.0631224034992502,0
"77-92-9",0.0631224034992502,0
"532-32-1",0.0631224034992502,0
"122-20-3",0.0631224034992502,0
"104-90-5",0.0631224034992502,0
"81131-70-6",0.162920113380841,0
