"","Real","Predict"
"79-16-3","0","0"
"13071-79-9","0","0"
"13301-61-6","0","0"
"532-02-5","0","0"
"180084-01-9","0","0"
"111-96-6","0","0"
"143-50-0","0","0"
"108-83-8","0","0"
"3194-55-6","0","0"
"143201-11-0","0","0"
"51630-58-1","0","0"
"6923-22-4","0","0"
"828-00-2","0","0"
"113734-18-2","0","0"
"56507-37-0","0","0"
"105-90-8","0","0"
"4719-04-4","0","0"
"300-76-5","0","0"
"298198-52-4","0","0"
"33089-61-1","0","0"
"19774-82-4","0","0"
"134-62-3","0","0"
"142-87-0","0","0"
"123-42-2","0","0"
"13080-86-9","0","0"
"1929-77-7","0","0"
"66-71-7","0","0"
"7212-44-4","0","0"
"213464-77-8","0","0"
"78-51-3","0","0"
"2687-96-9","0","0"
"107534-96-3","0","0"
"129-00-0","0","0"
"3277-26-7","0","0"
"101-21-3","0","0"
"84-15-1","0","0"
"NOCAS_47333","0","0"
"35575-96-3","0","0"
"484-17-3","0","0"
"58654-67-4","0","0"
"556-67-2","0","0"
"134002-60-1","0","0"
"1918-00-9","0","0"
"111-49-9","0","0"
"95-63-6","0","0"
"2303-17-5","0","0"
"626-39-1","0","0"
"50-27-1","0","0"
"96-48-0","0","0"
"58-93-5","0","0"
"112-80-1","0","0"
"106-24-1","0","0"
"57-41-0","0","0"
"93-02-7","0","0"
"692-86-4","0","0"
"23564-06-9","0","0"
"105-53-3","0","0"
"135-02-4","0","0"
"1646-87-3","0","0"
"77-48-5","0","0"
"210880-92-5","0","0"
"135410-20-7","0","0"
"108-31-6","0","0"
"544-63-8","0","0"
"57-30-7","0","0"
"14938-35-3","0","0"
"112-03-8","0","0"
"2917-73-9","0","0"
"4180-23-8","0","0"
"6175-45-7","0","0"
"103055-07-8","0","0"
"127-07-1","0","0"
"695-06-7","0","0"
"50-35-1","0","0"
"4065-45-6","0","0"
"NOCAS_48176","0","0"
"68-12-2","0","0"
"5394-36-5","0","0"
"127308-82-1","0","0"
"616-47-7","0","0"
"1609-47-8","0","0"
"93-65-2","0","0"
"1189-08-8","0","0"
"825643-57-0","0","0"
"107-75-5","0","0"
"719-59-5","0","0"
"129298-91-5","0","0"
"6846-50-0","0","0"
"81-61-8","0","0"
"4584-49-0","0","0"
"98-00-0","0","0"
"5116-94-9","0","0"
"65-23-6","0","0"
"83-67-0","0","0"
"51-05-8","0","0"
"7173-51-5","0","0"
"3380-34-5","0","0"
"88-69-7","0","0"
"57018-04-9","0","0"
"78-63-7","0","0"
"NOCAS_48518","0","0"
"108-38-3","0","0"
"135080-03-4","0","0"
"644-97-3","0","0"
"22839-47-0","0","0"
"108-39-4","0","0"
"67564-91-4","0","0"
"563-04-2","0","0"
"101-72-4","0","0"
"108-68-9","0","0"
"56-04-2","0","0"
"243973-20-8","0","0"
"627-18-9","0","0"
"122-78-1","0","0"
"64700-56-7","0","0"
"72-33-3","0","0"
"140939-17-9","0","0"
"50-69-1","0","0"
"4602-84-0","0","0"
"138-22-7","0","0"
"59-87-0","0","0"
"826-36-8","0","0"
"3147-75-9","0","0"
"5902-51-2","0","0"
"2144-53-8","0","0"
"106-87-6","0","0"
"2016-57-1","0","0"
"NOCAS_47353","0","0"
"1760-24-3","0","0"
"104-45-0","0","0"
"15046-75-0","0","0"
"609-54-1","0","0"
"77-92-9","0","0"
"96-29-7","0","0"
"64-10-8","0","0"
"862243-29-6","0","0"
"219714-96-2","0","0"
"17230-88-5","0","0"
"1742-14-9","0","0"
"57-13-6","0","0"
"112-72-1","0","0"
"118-55-8","0","0"
"203942-49-8","0","0"
