"","Real","Predict"
"3424-82-6","0","0"
"55285-14-8","0","0"
"16484-77-8","0","0"
"57-55-6","0","0"
"487-68-3","0","0"
"960-71-4","0","0"
"98-01-1","0","0"
"789-02-6","0","0"
"116-25-6","0","0"
"63-42-3","0","0"
"596-03-2","0","0"
"496-46-8","0","0"
"576-26-1","0","0"
"66215-27-8","0","0"
"15708-41-5","0","0"
"78-46-6","0","0"
"85-40-5","0","0"
"130-14-3","0","0"
"99-54-7","0","0"
"100-01-6","0","0"
"2409-55-4","0","0"
"553-70-8","0","0"
"95-49-8","0","0"
"94-47-3","0","0"
"334-48-5","0","0"
"75980-60-8","0","0"
"121-54-0","0","0"
"636-21-5","0","0"
"27955-94-8","0","0"
"83-41-0","0","0"
"59-40-5","0","0"
"1469-48-3","0","0"
"6117-91-5","0","0"
"32809-16-8","0","0"
"95-94-3","0","0"
"88-72-2","0","0"
"51218-45-2","0","0"
"4221-68-5","0","0"
"5405-41-4","0","0"
"51-21-8","0","0"
"137-26-8","0","0"
"532-32-1","0","0"
"6843-66-9","0","0"
"123-05-7","0","0"
"478263-98-8","0","0"
"102-85-2","0","0"
"81-81-2","0","0"
"136-77-6","0","0"
"622-45-7","0","0"
"79622-59-6","0","0"
"23779-32-0","0","0"
"140-08-9","0","0"
"42874-03-3","0","0"
"5850-86-2","0","0"
"153719-23-4","0","0"
"81131-70-6","0","0"
"89415-87-2","0","0"
"221246-12-4","0","0"
"10042-59-8","0","0"
"101463-69-8","0","0"
"112-55-0","0","0"
"111-70-6","0","0"
"542-92-7","0","0"
"99-51-4","0","0"
"550-44-7","0","0"
"89-72-5","0","0"
"120-18-3","0","0"
"6915-15-7","0","0"
"24307-26-4","0","0"
"55283-68-6","0","0"
"4856-95-5","0","0"
"1672-46-4","0","0"
"205-99-2","0","0"
"29836-26-8","0","0"
"112-07-2","0","0"
"109-04-6","0","0"
"140-66-9","0","0"
"87820-88-0","0","0"
"99-65-0","0","0"
"1646-75-9","0","0"
"460-00-4","0","0"
"102-76-1","0","0"
"111-76-2","0","0"
"111988-49-9","0","0"
"763-32-6","0","0"
"58846-77-8","0","0"
"106-36-5","0","0"
"591-22-0","0","0"
"77-93-0","0","0"
"134605-64-4","0","0"
"69-74-9","0","0"
"106-58-1","0","0"
"55-18-5","0","0"
"97-89-2","0","0"
"99-62-7","0","0"
"1114-71-2","0","0"
"100-54-9","0","0"
"687-47-8","0","0"
"57-11-4","0","0"
"131341-86-1","0","0"
"177785-47-6","0","0"
"102-82-9","0","0"
"1076-97-7","0","0"
"101-42-8","0","0"
"59-05-2","0","0"
"84-61-7","0","0"
"959-98-8","0","0"
"7786-34-7","0","0"
"121-14-2","0","0"
"874-90-8","0","0"
"NOCAS_47383","0","0"
"151506-44-4","0","0"
"74115-24-5","0","0"
"53112-28-0","0","0"
"2702-72-9","0","0"
"5103-74-2","0","0"
"124-04-9","0","0"
"22248-79-9","0","0"
"124378-77-4","0","0"
"81-30-1","0","0"
"81335-77-5","0","0"
"120-46-7","0","0"
"67-71-0","0","0"
"103-23-1","0","0"
"104-82-5","0","0"
"121-79-9","0","0"
"5333-42-6","0","0"
"43121-43-3","0","0"
"98-02-2","0","0"
"2795-39-3","0","0"
"68392-35-8","0","0"
"68-22-4","0","0"
"110-43-0","0","0"
"50-21-5","0","0"
"5103-71-9","0","0"
"78-07-9","0","0"
"78-69-3","0","0"
"57-06-7","0","0"
"13311-84-7","0","0"
"25168-05-2","0","0"
"6422-86-2","0","0"
"298-46-4","0","0"
"118134-30-8","0","0"
"126-30-7","0","0"
"402910-27-4","0","0"
"112-31-2","0","0"
"2426-54-2","0","0"
"58430-94-7","0","0"
"6359-98-4","0","0"
"115-29-7","0","0"
"139-13-9","0","0"
"6055-19-2","0","0"
"4151-50-2","0","0"
"55589-62-3","0","0"
"123-15-9","0","0"
"587-65-5","0","0"
"142-16-5","0","0"
"732-26-3","0","0"
"7696-12-0","0","0"
"78-97-7","0","0"
"NOCAS_48505","0","0"
"7659-86-1","0","0"
"121-39-1","0","0"
"534-52-1","0","0"
"95-32-9","0","0"
"4422-95-1","0","0"
"112-25-4","0","0"
"6358-09-4","0","0"
