"ID"	"HalCount"	"OCount"	"NCount"	"RingCount"	"SingleBoundCount"	"DoubleBoundCount"	"NumAromaticHeterocycles"	"FractionCSP3"	"NumUnspecifiedStereocenters"	"MolLogP"	"MolLogP2"	"AWeightHeavyAtom"	"qed"	"BalabanJ"	"Ipc"	"Chi3c"	"Chi5ch"	"Chi6ch"	"Chiv4c"	"Chiv5ch"	"Chiv6ch"	"HallKierAlpha"	"bcutm1"	"bcutm2"	"CIC2"	"SIC0"	"SIC2"	"IC0"	"IC1"	"Cfrag16"	"Cfrag17"	"SEStatefrag16"	"SEStatefrag17"	"SEStatefrag32"	"MinEStateIndex"	"MinAbsEStateIndex"	"EStateVSA1"	"EStateVSA3"	"EStateVSA4"	"EStateVSA5"	"EStateVSA6"	"EStateVSA7"	"EStateVSA8"	"EStateVSA9"	"EStateVSA10"	"MATSm1"	"MATSm2"	"MATSm4"	"MATSe1"	"MATSe2"	"MATSe3"	"MATSe4"	"MATSe6"	"MATSe8"	"GATSm1"	"GATSm5"	"GATSm6"	"GATSe1"	"GATSe2"	"GATSe4"	"GATSe5"	"GATSe8"	"Rnc"	"Rpc"	"Mnc"	"Mpc"	"QOss"	"QNss"	"QCss"	"QOmin"	"QNmin"	"QHmin"	"QOmax"	"QNmax"	"QCmax"	"QHmax"	"SlogP_VSA1"	"SlogP_VSA2"	"SlogP_VSA3"	"SlogP_VSA7"	"SlogP_VSA8"	"SlogP_VSA10"	"SlogP_VSA11"	"SMR_VSA1"	"SMR_VSA3"	"SMR_VSA4"	"SMR_VSA6"	"SMR_VSA9"	"SMR_VSA10"	"PEOE_VSA1"	"PEOE_VSA3"	"PEOE_VSA4"	"PEOE_VSA5"	"PEOE_VSA6"	"PEOE_VSA7"	"PEOE_VSA9"	"PEOE_VSA10"	"PEOE_VSA12"	"PEOE_VSA13"	"PEOE_VSA14"	"VSA_EState1"	"VSA_EState2"	"VSA_EState3"	"VSA_EState4"	"VSA_EState7"	"VSA_EState8"	"BP_pred"	"LogVP_pred"	"LogWS_pred"	"LogHL_pred"	"RT_pred"	"LogKOA_pred"	"BioDeg_LogHalfLife_pred"	"ReadyBiodeg_pred"	"LogKM_pred"	"FUB_pred"	"ClCount"	"BrCount"	"PCount"	"SCount"	"NumRotatableBonds"	"TripleBoundCount"	"NumStereocenters"	"NumAmideBonds"	"Weiner"	"Tigdi"	"petitjean"	"Chi4pc"	"Chi3ch"	"dchi0"	"dchi1"	"skappa3"	"bcutm4"	"bcutm10"	"CIC3"	"Cfrag9"	"Cfrag10"	"Cfrag14"	"Cfrag19"	"Cfrag24"	"Cfrag25"	"Cfrag26"	"Cfrag28"	"Cfrag29"	"Cfrag30"	"Cfrag31"	"Cfrag32"	"Cfrag34"	"Cfrag35"	"Cfrag37"	"Cfrag41"	"Cfrag42"	"Cfrag45"	"Cfrag52"	"Cfrag53"	"MaxEStateIndex"	"MATSm6"	"MATSv1"	"MATSv4"	"MATSv7"	"MATSv8"	"MATSe7"	"GATSm4"	"GATSv1"	"GATSv5"	"GATSv6"	"GATSv7"	"SPP"	"LDI"	"Qmin"	"Qmax"	"SlogP_VSA5"	"ICount"	"NumHDonors"	"NumHAcceptors"	"ArBoundCount"	"NumAliphaticRings"	"NumAromaticCarbocycles"	"UI"	"Chi4c"	"Chi4ch"	"Chiv4pc"	"bcutm3"	"bcutm9"	"bcutv1"	"CIC4"	"CIC5"	"CIC6"	"IC2"	"Cfrag50"	"Cfrag51"	"MATSv3"	"MATSv5"	"FpDensityMorgan1"	"LogP_pred"	"NumHeteroatoms"	"Fcount"	"bcutm11"	"CIC1"	"Cfrag18"	"Cfrag48"	"Hato"	"NumAliphaticHeterocycles"	"HeavyAtomCount"	"Aff"
"106-50-3"	"106-50-3"	0	0	2	1	2	0	0	0	0	0.851	0.724201	12.51	0.483927	3.032456	70.79892	0.577	0	0.083	0	0	0.028	-1.18	3.799569	2.96042	1.75	0.35141	0.5625	1.405639	2.25	0	2	0	1.498519	0	0.7492593	0.7492593	0	0	11.374773	0	24.265468	0	0	11.467335	0	0	-0.2	-1	0	-0.2	-0.428571	-1	0	0	0.583333	0	0	0.583333	0.933333	2.333333	0	0	0.421502	0.165139	-0.157661	0.094597	0	0.317966	0.007498	0	-0.398727	0.064526	0	-0.398727	0.031499	0.156216	11.467335	0	0	0	0	11.374773	0	0	0	0	11.467335	0	11.374773	11.467335	0	0	0	0	24.265468	0	0	0	0	0	0	0	0	12.24074	0	0	267	-2.89	-0.41	-7.25	3.64	7.67	0.92	0	-0.92	0.48	0	0	0	0	0	0	0	0	62	218	0.4	0.816	0	1.519	1.389	0.904142	2.227259	1.2347	2.094361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.371111	0	0	-1	0	0	0	2.333333	0.583333	0	0	0	0.554943	0.235084	-0.398727	0.156216	0	0	2	2	6	0	1	2.807355	0	0	0.222	2.616865	1.936038	3.793	1.75	1.75	1.625	2.25	0	0	-0.428571	3	0.75	-0.3	2	0	1.0818	1.75	0	0	1.714286	0	8	1
"119-90-4"	"119-90-4"	0	2	2	2	7	0	0	0.142857	0	2.5352	6.427239	12.67589	0.813841	2.480233	13434.59	1.138	0	0.136	0	0	0.048	-2.36	3.944968	3.703658	1.677046	0.29872	0.670357	1.519728	2.777777	0	6	0	4.539448	0	0.6145	0.6145	0	22.873796	11.126903	0	14.219595	36.398202	0	20.941061	0	-0.144732	-0.096186	-0.159144	-0.144818	-0.095431	0.086198	-0.157895	-0.310151	0.239664	1.006467	1.062382	1.328214	1.009027	0.816079	0.964457	1.065084	1.60573	0.246924	0.078056	-0.166913	0.091043	0.489215	0.313205	0.071746	-0.494578	-0.39573	0.063005	-0.494578	-0.39573	0.141857	0.156344	20.941061	14.219595	0	0	11.126903	11.374773	11.499024	9.473726	0	0	25.68693	22.625927	11.374773	20.941061	0	0	0	12.132734	35.392371	25.594368	11.499024	0	0	0	10.41294485	0	0	14.80486	0	0	356	-8.33	-3.61	-7.65	10.12	9.11	0.55	0	-0.67	0.27	0	0	0	0	3	0	0	0	613	3109	0.444444	2.994	0	2.686	3.123	2.176885	2.947527	1.804032	1.514993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.788533	-0.312604	-0.139245	-0.174115	0.101676	0.379855	0.259272	0.965974	0.956833	1.009991	1.353211	1.191435	0.650922	0.199663	-0.494578	0.156344	0	0	2	4	12	0	2	3.70044	0	0	0.945	3.082023	2.015376	3.934	1.514993	1.397346	1.279699	3.410417	0	0	0.128074	-0.162182	0.7222222	1.81	4	0	1.423569	2.309686	0	0	1.8	0	18	1
"119-93-7"	"119-93-7"	0	0	2	2	5	0	0	0.142857	0	3.13484	9.827222	12.2605	0.713391	2.50208	4453.211	1.276	0	0.136	0	0	0.048	-1.96	3.944304	3.701453	1.719361	0.254356	0.656128	1.271782	2.483459	0	6	0	6.217954	0	0.8295527	0.8295527	0	0	22.501676	11.126903	0	38.112943	12.132734	11.467335	0	0.008403	-0.047619	0	0.008403	-0.047619	-0.142857	0	-0.238095	-1	0.504202	0.612245	1.428571	0.504202	0.714286	0.535714	0.612245	4.285714	0.3205	0.125642	-0.088815	0.069078	0	0.317626	0.020651	0	-0.398514	0.028042	0	-0.398514	0.034365	0.156225	11.467335	0	0	0	11.126903	11.374773	0	0	0	0	11.467335	11.126903	11.374773	11.467335	0	0	0	12.132734	60.366749	0	0	0	0	0	0	0	0	17.81956	0	4.033713467	339	-6.79	-2.21	-6.97	13.82	9.02	1.3	0	-0.29	0.13	0	0	0	0	1	0	0	0	440	2118	0.444444	3.115	0	2.088	2.272	1.866417	2.832616	1.863086	1.54718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.800802	-0.238095	0.008403	0	-0.428571	-1	-0.428571	0.535714	0.504202	0.612245	1.428571	2.142857	0.554739	0.14041	-0.398514	0.156225	11.126903	0	2	2	12	0	2	3.70044	0	0	1.209	3.042921	2.04458	3.948	1.54718	1.54718	1.508271	3.280639	0	0	-0.142857	-0.020408	0.6875	2.34	2	0	1.431436	2.516541	0	0	1.777778	0	16	1
"121-75-5"	"121-75-5"	0	6	0	0	15	3	0	0.8	1	2.1218	4.502035	16.37958	0.470197	4.807811	9559.02	1.618	0	0	0.335	0	0	-0.14	4.760921	3.64809	1.540245	0.340894	0.706504	1.788989	2.755543	2	0	-1.008623	0	0	-2.648601	0.1225694	22.882086	0	11.381725	14.219595	13.847474	0	0	30.328076	9.589074	0.573123	-0.017843	-0.120481	-0.476474	0.170579	-0.225164	-0.381526	0.067892	0.118042	0.54653	0.989173	0.919449	1.409981	0.817394	1.264674	0.547747	0.49579	0.209322	0.143625	-0.222589	0.079496	0.7713	0	0.237379	-0.465928	0	0.026509	-0.250921	0	0.319694	0.070377	0	44.621908	39.917151	0	0	0	0	28.110295	0	0	27.433359	0	40.820729	18.52122	0	0	0	11.381725	25.65433	19.634586	5.249938	5.693538	0	11.938611	19.91800753	23.28013479	-0.787284	-2.648601	-0.122569444	3.856287885	360	-5.47	-3.36	-8.31	10.3	9.61	2.1	0	0.29	0.07	0	0	1	2	9	0	1	0	738	3769	0.444444	3.079	0	0.95	0.846	7.269182	3.148287	1.652031	1.289988	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11.80209	-0.161506	-0.054927	-0.391996	-0.070571	-0.002624	-0.526855	1.079809	1.386096	1.031807	0.871559	0.777603	0.785622	0.209539	-0.465928	0.319694	20.268296	0	0	8	0	0	0	2	0.177	0	4.713	3.347464	1.707174	3.736	1.237357	1.132093	1.239985	3.707682	1	0	-0.09137	0.076209	1.1578947	2.36	9	0	1.569289	2.492385	0	0	1.55102	0	19	1
"20325-40-0"	"20325-40-0"	0	2	2	2	7	0	0	0.142857	0	2.5352	6.427239	12.67589	0.813841	2.480233	13434.59	1.138	0	0.136	0	0	0.048	-2.36	3.944968	3.703658	1.677046	0.29872	0.670357	1.519728	2.777777	0	6	0	4.539448	0	0.6145	0.6145	0	22.873796	11.126903	0	14.219595	36.398202	0	20.941061	0	-0.144732	-0.096186	-0.159144	-0.144818	-0.095431	0.086198	-0.157895	-0.310151	0.239664	1.006467	1.062382	1.328214	1.009027	0.816079	0.964457	1.065084	1.60573	0.246924	0.078056	-0.166913	0.091043	0.489215	0.313205	0.071746	-0.494578	-0.39573	0.063005	-0.494578	-0.39573	0.141857	0.156344	20.941061	14.219595	0	0	11.126903	11.374773	11.499024	9.473726	0	0	25.68693	22.625927	11.374773	20.941061	0	0	0	12.132734	35.392371	25.594368	11.499024	0	0	0	10.41294485	0	0	14.80486	0	0	356	-8.33	-3.61	-7.65	10.12	9.11	0.55	0	-0.67	0.27	0	0	0	0	3	0	0	0	613	3109	0.444444	2.994	0	2.686	3.123	2.176885	2.947527	1.804032	1.514993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.788533	-0.312604	-0.139245	-0.174115	0.101676	0.379855	0.259272	0.965974	0.956833	1.009991	1.353211	1.191435	0.650922	0.199663	-0.494578	0.156344	0	0	2	4	12	0	2	3.70044	0	0	0.945	3.082023	2.015376	3.934	1.514993	1.397346	1.279699	3.410417	0	0	0.128074	-0.162182	0.7222222	-0.26	4	0	1.423569	2.309686	0	0	1.8	0	18	1
"21739-91-3"	"21739-91-3"	1	4	0	1	7	3	0	0.090909	0	0.9066	0.821924	17.25131	0.60849	2.922273	3333.16	1.207	0	0.083	0	0	0.028	-1.62	6.842316	3.835278	1.209148	0.363374	0.73628	1.666056	2.819774	3	2	-1.904392	0.9877114	0	-1.422466	0.05771589	11.75255	17.388983	0	7.109798	24.265468	0	15.929944	4.736863	14.695602	-0.004936	-0.051499	-0.11642	-0.094384	0.030854	-0.128261	-0.109574	-0.12014	-0.636988	0.519158	1.174572	0.755139	0.825358	0.780634	0.974263	0.813159	1.639331	0.262671	0.185355	-0.207645	0.076889	0.924706	0	0.074871	-0.545423	0	0.063182	-0.288019	0	0.199524	0.066861	9.84339	18.862348	4.794537	0	0	0	5.749512	19.432465	0	0	7.109798	5.749512	27.682494	14.637928	0	0	0	0	46.271432	17.561475	5.749512	0	0	0	4.87448642	21.88887984	10.2562	0.3659028	0.700957814	0	315	-6.29	-2.53	-8.28	5.39	9.81	0.55	0	-0.87	0.36	0	1	0	0	4	0	0	0	479	1898	0.5	2.336	0	2.146	2.435	3.200995	3.121858	1.504454	0.729574	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11.632679	-0.063248	-0.02334	-0.434685	-0.627069	-0.046673	-0.52533	1.720524	0.568672	0.791955	0.82716	1.705264	0.744947	0.186647	-0.545423	0.199524	10.357989	0	0	4	6	0	1	3.321928	0	0	0.93	3.407357	1.938081	3.84	0.729574	0.69812	0.812907	3.375815	0	0	-0.196801	0.290224	1.3125	-1.67	5	0	1.401643	1.765189	0	0	1.655172	0	16	1
"56-38-2"	"56-38-2"	0	5	1	1	10	2	0	0.4	0	3.2711	10.700095	15.39739	0.435981	2.809299	8015.473	1.631	0	0.083	0.112	0	0.028	-1.01	4.62952	3.816019	1.531861	0.386676	0.693628	1.933378	2.748192	0	2	0	0.3836156	0	-2.816595	0.01067455	11.641918	18.963276	0	24.265468	13.847474	0	0	25.378098	10.114318	0.589167	-0.071268	-0.390333	-0.222723	0.298902	-0.330513	-0.445087	0.420055	0.93117	0.542179	0.933818	0.640284	1.114604	0.807946	1.357688	0.821668	0.380029	0.257429	0.230676	-0.183058	0.071631	0.493104	0.003867	0.099527	-0.424121	0.062188	0.025399	-0.25831	0.062188	0.269196	0.069683	4.523747	18.137075	20.85435	0	0	5.687386	5.749512	18.494553	0	0	13.213764	5.749512	24.21285	4.523747	0	0	0	0	25.980209	18.137075	5.749512	0	5.687386	6.718607	16.07461939	10.02297958	10.50417	-0.01067455	0	1.523732249	375	-5.17	-4.36	-6.53	14.09	9.33	0.68	0	-0.41	0	0	0	1	1	7	0	0	0	661	2827	0.5	2.779	0	1.818	0.612	4.343347	3.109594	1.65047	1.320771	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10.504174	0.040851	-0.299209	-0.033979	-0.531288	0.208257	0.008606	1.468542	1.61255	0.550255	0.585252	1.659311	0.804166	0.198507	-0.424121	0.380045	13.847474	0	0	6	6	0	1	3.169925	0.177	0	1.583	3.190496	1.916626	3.838	1.23468	1.23468	1.23468	3.468139	0	0	0.012892	0.049265	1.2222222	3.83	8	0	1.631329	2.251808	0	0	1.674419	0	18	1
"1912-24-9"	"1912-24-9"	1	0	5	1	8	0	1	0.625	0	1.7771	3.158084	14.39829	0.801863	2.831956	1099.439	1.105	0	0.068	0	0	0.011	-1.1	3.923285	3.421777	1.572825	0.33946	0.672829	1.631905	2.717022	0	3	0	1.185833	0	0.1936111	0.1936111	0	11.896679	6.544756	0	0	20.771212	25.585513	11.60094	0	-0.048656	0.034297	0.007407	-0.51868	0.640332	-0.60886	0.399787	-0.903446	0.690788	0.558827	1.233415	2.220147	1.291297	0.304691	0.647067	1.122883	0	0.248642	0.160347	-0.158335	0.075001	0	0.346758	0.163602	0	-0.354318	0.024832	0	-0.176882	0.228497	0.163452	10.633577	27.538533	0	5.283586	0	11.896679	0	0	14.951936	0	17.178334	0	23.497618	10.633577	0	14.951936	0	0	32.372151	0	0	17.180265	0	0	0	12.00588498	6.226631	0	0	6.726124654	337	-6.54	-3.7	-7.91	11.69	8.38	0.69	0	-1.05	0.12	1	0	0	0	4	0	0	0	319	1289	0.5	1.303	0	1.292	1.701	3.334194	3.047789	1.715064	1.009452	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5.726968	-0.398812	-0.266527	-0.398784	0.206567	0.206567	0.690788	1.164588	1.007252	0.68123	1.226213	0	0.582815	0.235541	-0.354318	0.228497	20.771212	0	2	5	6	0	0	2.807355	0	0	0.422	3.315648	1.804484	3.663	1.478003	1.920516	1.501396	3.23453	0	0	-0.201567	0.097716	1.2142857	2.61	6	0	1.507072	2.090333	0	0	1.68	0	14	1
"612-82-8"	"612-82-8"	0	0	2	2	5	0	0	0.142857	0	3.13484	9.827222	12.2605	0.713391	2.50208	4453.211	1.276	0	0.136	0	0	0.048	-1.96	3.944304	3.701453	1.719361	0.254356	0.656128	1.271782	2.483459	0	6	0	6.217954	0	0.8295527	0.8295527	0	0	22.501676	11.126903	0	38.112943	12.132734	11.467335	0	0.008403	-0.047619	0	0.008403	-0.047619	-0.142857	0	-0.238095	-1	0.504202	0.612245	1.428571	0.504202	0.714286	0.535714	0.612245	4.285714	0.3205	0.125642	-0.088815	0.069078	0	0.317626	0.020651	0	-0.398514	0.028042	0	-0.398514	0.034365	0.156225	11.467335	0	0	0	11.126903	11.374773	0	0	0	0	11.467335	11.126903	11.374773	11.467335	0	0	0	12.132734	60.366749	0	0	0	0	0	0	0	0	17.81956	0	4.033713467	339	-6.79	-2.21	-6.97	13.82	9.02	1.3	0	-0.29	0.13	0	0	0	0	1	0	0	0	440	2118	0.444444	3.115	0	2.088	2.272	1.866417	2.832616	1.863086	1.54718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.800802	-0.238095	0.008403	0	-0.428571	-1	-0.428571	0.535714	0.504202	0.612245	1.428571	2.142857	0.554739	0.14041	-0.398514	0.156225	11.126903	0	2	2	12	0	2	3.70044	0	0	1.209	3.042921	2.04458	3.948	1.54718	1.54718	1.508271	3.280639	0	0	-0.142857	-0.020408	0.6875	-0.9	2	0	1.431436	2.516541	0	0	1.777778	0	16	1
"838-88-0"	"838-88-0"	0	0	2	2	6	0	0	0.2	0	3.05864	9.355279	12.24582	0.773161	2.249182	7032.279	1.351	0	0.136	0	0	0.048	-1.96	3.911842	3.767635	1.707841	0.244328	0.667041	1.253226	2.534633	0	6	0	6.523658	0	0.8492932	0.8492932	0	0	28.922497	11.126903	0	25.980209	24.265468	11.467335	0	0.007407	-0.048	-0.008333	0.007407	-0.048	-0.15	-0.008333	-0.028571	-0.433333	0.503704	0.647619	0.647619	0.503704	0.725333	0.566667	0.647619	2.266667	0.303034	0.118795	-0.087672	0.065754	0	0.317627	0.025666	0	-0.398514	0.028042	0	-0.398514	0.034341	0.156225	11.467335	0	6.420822	0	0	11.374773	0	0	0	0	11.467335	0	11.374773	11.467335	0	0	0	24.265468	54.654836	0	0	0	0	0	0	0	0	18.14274	0.918888889	4.069573045	363	-7.04	-2.86	-6.97	14.1	9.06	1.29	0	-0.27	0.23	0	0	0	0	2	0	0	0	552	2398	0.5	2.975	0	2.088	2.298	2.588595	2.852183	1.916727	1.585994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.809543	-0.028571	0.007407	-0.008333	-0.244444	-0.433333	-0.244444	0.566667	0.503704	0.647619	0.647619	1.511111	0.554739	0.131738	-0.398514	0.156225	22.253806	0	2	2	12	0	2	3.70044	0	0	1.209	3.133974	2.035534	3.918	1.471708	1.357422	1.514844	3.421442	0	0	-0.15	-0.028571	0.7647059	2.18	2	0	1.49104	2.59465	0	0	1.789474	0	17	1
